costs,locs,techs,cost_om_prod
monetary,Botswana,Coal,0.0024
monetary,Botswana,DieselEngine,0.003
monetary,Botswana,ElectricTransmission132kV:SudAfrica,0.0076
monetary,Botswana,ElectricTransmission132kV:Zimbabwe,0.0076
monetary,Botswana,ElectricTransmission400kV:SudAfrica,0.0076
monetary,Botswana,ElectricTransmission400kV:Zimbabwe,0.0076
monetary,Botswana,OCGT,0.0024
monetary,Moz-North-Center,DieselEngine,0.003
monetary,Moz-North-Center,ElectricTransmission400kV:Zimbabwe,0.0076
monetary,Moz-North-Center,ElectricTransmission533kV:SudAfrica,0.0076
monetary,Moz-North-Center,OCGT,0.0024
monetary,Moz-South,DieselEngine,0.003
monetary,Moz-South,ElectricTransmission275kV:SudAfrica,0.0076
monetary,Moz-South,ElectricTransmission400kV:SudAfrica,0.0076
monetary,Moz-South,GasEngine,0.0024
monetary,Moz-South,OCGT,0.0024
monetary,Namibia,Coal,0.0024
monetary,Namibia,DieselEngine,0.003
monetary,Namibia,ElectricTransmission132kV:Zambia,0.0076
monetary,Namibia,ElectricTransmission275kV:SudAfrica,0.0076
monetary,Namibia,ElectricTransmission400kV:SudAfrica,0.0076
monetary,SudAfrica,Coal,0.0024
monetary,SudAfrica,ElectricTransmission132kV:Botswana,0.0076
monetary,SudAfrica,ElectricTransmission275kV:Moz-South,0.0076
monetary,SudAfrica,ElectricTransmission275kV:Namibia,0.0076
monetary,SudAfrica,ElectricTransmission400kV:Botswana,0.0076
monetary,SudAfrica,ElectricTransmission400kV:Moz-South,0.0076
monetary,SudAfrica,ElectricTransmission400kV:Namibia,0.0076
monetary,SudAfrica,ElectricTransmission533kV:Moz-North-Center,0.0076
monetary,SudAfrica,OCGT,0.0024
monetary,Zambia,Coal,0.0024
monetary,Zambia,DieselEngine,0.003
monetary,Zambia,ElectricTransmission132kV:Namibia,0.0076
monetary,Zambia,ElectricTransmission330kV:Zimbabwe,0.0076
monetary,Zambia,HFO,0.015
monetary,Zimbabwe,Biomass,0.003
monetary,Zimbabwe,Coal,0.0024
monetary,Zimbabwe,Coal_old,0.0024
monetary,Zimbabwe,ElectricTransmission132kV:Botswana,0.0076
monetary,Zimbabwe,ElectricTransmission330kV:Zambia,0.0076
monetary,Zimbabwe,ElectricTransmission400kV:Botswana,0.0076
monetary,Zimbabwe,ElectricTransmission400kV:Moz-North-Center,0.0076
