carriers,locs,lookup_loc_carriers
power,Botswana,"Botswana::ElectricTransmission400kV:SudAfrica::power,Botswana::ElectricTransmission400kV:Zimbabwe::power,Botswana::ElectricTransmission132kV:SudAfrica::power,Botswana::Coal::power,Botswana::ElectricTransmission132kV:Zimbabwe::power,Botswana::demand_power::power,Botswana::DieselEngine::power,Botswana::OCGT::power"
power,Moz-North-Center,"Moz-North-Center::demand_power::power,Moz-North-Center::ElectricTransmission533kV:SudAfrica::power,Moz-North-Center::OCGT::power,Moz-North-Center::hydroD::power,Moz-North-Center::DieselEngine::power,Moz-North-Center::ElectricTransmission400kV:Zimbabwe::power"
power,Moz-South,"Moz-South::GasEngine::power,Moz-South::ElectricTransmission275kV:SudAfrica::power,Moz-South::hydro::power,Moz-South::OCGT::power,Moz-South::ElectricTransmission400kV:SudAfrica::power,Moz-South::DieselEngine::power,Moz-South::demand_power::power"
power,Namibia,"Namibia::demand_power::power,Namibia::Coal::power,Namibia::ElectricTransmission275kV:SudAfrica::power,Namibia::ElectricTransmission132kV:Zambia::power,Namibia::hydro::power,Namibia::DieselEngine::power,Namibia::ElectricTransmission400kV:SudAfrica::power"
power,SudAfrica,"SudAfrica::ElectricTransmission400kV:Botswana::power,SudAfrica::ElectricTransmission533kV:Moz-North-Center::power,SudAfrica::PV::power,SudAfrica::ElectricTransmission275kV:Namibia::power,SudAfrica::ElectricTransmission400kV:Namibia::power,SudAfrica::hydro::power,SudAfrica::ElectricTransmission400kV:Moz-South::power,SudAfrica::ElectricTransmission132kV:Botswana::power,SudAfrica::Wind::power,SudAfrica::Nuclear::power,SudAfrica::ElectricTransmission275kV:Moz-South::power,SudAfrica::Coal::power,SudAfrica::OCGT::power,SudAfrica::demand_power::power"
power,Zambia,"Zambia::DieselEngine::power,Zambia::PV::power,Zambia::ElectricTransmission132kV:Namibia::power,Zambia::hydroC::power,Zambia::hydro::power,Zambia::ElectricTransmission330kV:Zimbabwe::power,Zambia::Coal::power,Zambia::hydroA::power,Zambia::demand_power::power,Zambia::hydroB::power,Zambia::HFO::power"
power,Zimbabwe,"Zimbabwe::Coal_old::power,Zimbabwe::ElectricTransmission330kV:Zambia::power,Zimbabwe::Coal::power,Zimbabwe::demand_power::power,Zimbabwe::ElectricTransmission132kV:Botswana::power,Zimbabwe::ElectricTransmission400kV:Botswana::power,Zimbabwe::Biomass::power,Zimbabwe::hydroC::power,Zimbabwe::ElectricTransmission400kV:Moz-North-Center::power"
waterA,Zambia,"Zambia::storageA::waterA,Zambia::ConversionPlusA::waterA,Zambia::supply_waterA::waterA,Zambia::spillageA::waterA"
waterB,Zambia,"Zambia::ConversionPlusA::waterB,Zambia::storageB::waterB,Zambia::ConversionPlusB::waterB,Zambia::supply_waterB::waterB,Zambia::spillageA::waterB,Zambia::spillageB::waterB"
waterC,Zambia,"Zambia::spillageC::waterC,Zambia::storageC::waterC,Zambia::supply_waterC::waterC,Zambia::WaterCTransmission:Zimbabwe::waterC,Zambia::ConversionPlusC::waterC"
waterC,Zimbabwe,"Zimbabwe::ConversionPlusC::waterC,Zimbabwe::WaterCTransmission:Zambia::waterC"
waterD,Moz-North-Center,"Moz-North-Center::supply_waterD::waterD,Moz-North-Center::WaterDTransmission:Zimbabwe::waterD,Moz-North-Center::hydroD::waterD,Moz-North-Center::WaterDTransmission:Zambia::waterD,Moz-North-Center::spillageD::waterD,Moz-North-Center::storageD::waterD"
waterD,Zambia,"Zambia::spillageB::waterD,Zambia::WaterDTransmission:Moz-North-Center::waterD,Zambia::ConversionPlusC::waterD,Zambia::spillageC::waterD,Zambia::ConversionPlusB::waterD"
waterD,Zimbabwe,"Zimbabwe::WaterDTransmission:Moz-North-Center::waterD,Zimbabwe::ConversionPlusC::waterD"
waterE,Moz-North-Center,Moz-North-Center::spillageD::waterE
water_to_hpA,Zambia,"Zambia::hydroA::water_to_hpA,Zambia::ConversionPlusA::water_to_hpA"
water_to_hpB,Zambia,"Zambia::hydroB::water_to_hpB,Zambia::ConversionPlusB::water_to_hpB"
water_to_hpC,Zambia,"Zambia::ConversionPlusC::water_to_hpC,Zambia::hydroC::water_to_hpC"
water_to_hpC,Zimbabwe,"Zimbabwe::hydroC::water_to_hpC,Zimbabwe::ConversionPlusC::water_to_hpC"
