techs,inheritance
storageB,storage
ElectricTransmission533kV,transmission
ElectricTransmission400kV,transmission
hydroC,conversion
WaterCTransmission,transmission
demand_waterA,demand
ElectricTransmission220kV,transmission
supply_waterB,supply
ElectricTransmission330kV,transmission
Wind,supply_plus
GasEngine,supply
hydroA,conversion
ConversionPlusC,conversion_plus
WaterDTransmission,transmission
supply_waterC,supply
HFO,supply
spillageB,conversion
OCGT,supply
hydroD,conversion
ConversionPlus0,conversion_plus
storageA,storage
spillageA,conversion
hydro,supply
supply_water0,supply
hydroB,conversion
ConversionPlusA,conversion_plus
supply_waterA,supply
hydro0,conversion
ElectricTransmission275kV,transmission
PV,supply_plus
supply_waterD,supply
storageD,storage
storageC,storage
Coal_old,supply
demand_waterB,demand
spillageD,conversion
DieselEngine,supply
Biomass,supply
demand_power,demand
Coal,supply
ConversionPlusB,conversion_plus
ElectricTransmission132kV,transmission
Nuclear,supply
demand_waterC,demand
spillageC,conversion
