techs,colors
hydroA,#1DFF97
hydroB,#1D3EFF
demand_waterB,#BD07FB
DieselEngine,#E33B78
supply_waterC,#0287FF
Coal_old,#5E5E5E
ConversionPlusB,#185b48
Biomass,#20FF30
supply_waterB,#0287FF
ElectricTransmission220kV,#8465A9
Nuclear,#84008A
ElectricTransmission400kV,#8465A9
hydro0,#1DFF97
hydroC,#118EC2
WaterDTransmission,#000572
storageA,#FF02EF
ElectricTransmission330kV,#8465A9
ElectricTransmission132kV,#8465A9
demand_waterA,#BD07FB
hydro,#02FFD3
Wind,#FF2020
ElectricTransmission275kV,#8465A9
demand_power,#072486
GasEngine,#E9A603
HFO,#AF2D2D
hydroD,#003C72
storageC,#FF02EF
Coal,#CCCCCC
PV,#F3F311
ConversionPlusC,#3c7632
demand_waterC,#BD07FB
supply_waterD,#07FBF5
WaterCTransmission,#000572
supply_waterA,#0287FF
OCGT,#E84C4C
spillageD,#FFAE02
spillageC,#FFAE02
ElectricTransmission533kV,#8465A9
spillageA,#7e7a36
ConversionPlus0,#19122b
supply_water0,#0287FF
storageD,#3B61E3
storageB,#FF02EF
spillageB,#FFAE02
ConversionPlusA,#17344c
