timesteps,Zambia
2005-01-01 00:00:00,-1.6715616546892712e-06
2005-01-01 01:00:00,-1.6715588031628029e-06
2005-01-01 02:00:00,-1.6715580235926807e-06
2005-01-01 03:00:00,-1.6715648967335519e-06
2005-01-01 04:00:00,-1.671555576084915e-06
2005-01-01 05:00:00,-1.6715462554365758e-06
2005-01-01 06:00:00,-1.6715369347885326e-06
2005-01-01 07:00:00,-1.6715402413570405e-06
2005-01-01 08:00:00,-1.6715431810930862e-06
2005-01-01 09:00:00,-1.6715544229924537e-06
2005-01-01 10:00:00,-1.6715613632725048e-06
2005-01-01 11:00:00,-1.6715697105070693e-06
2005-01-01 12:00:00,-1.6715967048534968e-06
2005-01-01 13:00:00,-1.6716087022107677e-06
2005-01-01 14:00:00,-1.6716349003075591e-06
2005-01-01 15:00:00,-1.6716409854453476e-06
2005-01-01 16:00:00,-1.6716785497709885e-06
2005-01-01 17:00:00,-1.6716862036262966e-06
2005-01-01 18:00:00,-1.671696438600283e-06
2005-01-01 19:00:00,-1.6717234339302404e-06
2005-01-01 20:00:00,-1.6717350765031105e-06
2005-01-01 21:00:00,-1.6717477095711208e-06
2005-01-01 22:00:00,-1.6717540355935578e-06
2005-01-01 23:00:00,-1.6717656651787482e-06
2005-01-02 00:00:00,-1.6717678540611813e-06
2005-01-02 01:00:00,-1.6717688868698444e-06
2005-01-02 02:00:00,-1.671766179190047e-06
2005-01-02 03:00:00,-1.6717772854945814e-06
2005-01-02 04:00:00,-1.671779937525385e-06
2005-01-02 05:00:00,-1.6717718077902952e-06
2005-01-02 06:00:00,-1.671767552780545e-06
2005-01-02 07:00:00,-1.671778082341535e-06
2005-01-02 08:00:00,-1.6717810232073053e-06
2005-01-02 09:00:00,-1.6717880652167676e-06
2005-01-02 10:00:00,-1.6717950095938074e-06
2005-01-02 11:00:00,-1.6718141436781922e-06
2005-01-02 12:00:00,-1.6718299318774928e-06
2005-01-02 13:00:00,-1.6718444778043951e-06
2005-01-02 14:00:00,-1.6718510321863319e-06
2005-01-02 15:00:00,-1.6718612383960318e-06
2005-01-02 16:00:00,-1.6718679539938715e-06
2005-01-02 17:00:00,-1.6718797277632754e-06
2005-01-02 18:00:00,-1.671892346033335e-06
2005-01-02 19:00:00,-1.6719057887356543e-06
2005-01-02 20:00:00,-1.671932787343671e-06
2005-01-02 21:00:00,-1.6719436856392126e-06
2005-01-02 22:00:00,-1.6719500129497418e-06
2005-01-02 23:00:00,-1.6719615541108528e-06
2005-01-03 00:00:00,-1.6719617296063513e-06
2005-01-03 01:00:00,-1.6719604084841073e-06
2005-01-03 02:00:00,-1.6719747240370349e-06
2005-01-03 03:00:00,-1.6719719879913932e-06
2005-01-03 04:00:00,-1.6720095523595523e-06
2005-01-03 05:00:00,-1.672007296703707e-06
2005-01-03 06:00:00,-1.6720083586096186e-06
2005-01-03 07:00:00,-1.6720175338827354e-06
2005-01-03 08:00:00,-1.6720280352008023e-06
2005-01-03 09:00:00,-1.6720373289603585e-06
2005-01-03 10:00:00,-1.6720468178009126e-06
2005-01-03 11:00:00,-1.67205643676361e-06
2005-01-03 12:00:00,-1.6720701736681683e-06
2005-01-03 13:00:00,-1.6720773710354337e-06
2005-01-03 14:00:00,-1.6720836536329146e-06
2005-01-03 15:00:00,-1.672089218560156e-06
2005-01-03 16:00:00,-1.6720955054109757e-06
2005-01-03 17:00:00,-1.6721105197043668e-06
2005-01-03 18:00:00,-1.6721276267972053e-06
2005-01-03 19:00:00,-1.6721420587025579e-06
2005-01-03 20:00:00,-1.672152996154229e-06
2005-01-03 21:00:00,-1.6721616678037614e-06
2005-01-03 22:00:00,-1.6721677865792474e-06
2005-01-03 23:00:00,-1.6721733520492528e-06
2005-01-04 00:00:00,-1.672171114905722e-06
2005-01-04 01:00:00,-1.6721686986651445e-06
2005-01-04 02:00:00,-1.6721656027816645e-06
2005-01-04 03:00:00,-1.672162867221179e-06
2005-01-04 04:00:00,-1.6721790699194395e-06
2005-01-04 05:00:00,-1.6721768148366947e-06
2005-01-04 06:00:00,-1.6721758809636239e-06
2005-01-04 07:00:00,-1.672185056533554e-06
2005-01-04 08:00:00,-1.6722226209291078e-06
2005-01-04 09:00:00,-1.6722276984932448e-06
2005-01-04 10:00:00,-1.6722371893501602e-06
2005-01-04 11:00:00,-1.672246810278666e-06
2005-01-04 12:00:00,-1.6722588121786119e-06
2005-01-04 13:00:00,-1.6722660103126538e-06
2005-01-04 14:00:00,-1.6722722929965437e-06
2005-01-04 15:00:00,-1.6722778591703134e-06
2005-01-04 16:00:00,-1.6722865283192701e-06
2005-01-04 17:00:00,-1.672295043746134e-06
2005-01-04 18:00:00,-1.672307971820986e-06
2005-01-04 19:00:00,-1.6723200237380085e-06
2005-01-04 20:00:00,-1.6723309628592179e-06
2005-01-04 21:00:00,-1.6723437363115164e-06
2005-01-04 22:00:00,-1.6723695075194405e-06
2005-01-04 23:00:00,-1.6723750742515708e-06
2005-01-05 00:00:00,-1.6723728376681162e-06
2005-01-05 01:00:00,-1.6723715177813205e-06
2005-01-05 02:00:00,-1.672370687918252e-06
2005-01-05 03:00:00,-1.6723665028770087e-06
2005-01-05 04:00:00,-1.6723571822028112e-06
2005-01-05 05:00:00,-1.6723583768917422e-06
2005-01-05 06:00:00,-1.6723689674213058e-06
2005-01-05 07:00:00,-1.6723786494758576e-06
2005-01-05 08:00:00,-1.67238677151601e-06
2005-01-05 09:00:00,-1.6723918511837164e-06
2005-01-05 10:00:00,-1.6724077979886974e-06
2005-01-05 11:00:00,-1.6724174208716244e-06
2005-01-05 12:00:00,-1.672454985297078e-06
2005-01-05 13:00:00,-1.672462186609278e-06
2005-01-05 14:00:00,-1.6724891922440012e-06
2005-01-05 15:00:00,-1.672494759590164e-06
2005-01-05 16:00:00,-1.6725034313465213e-06
2005-01-05 17:00:00,-1.672511948618541e-06
2005-01-05 18:00:00,-1.672524878522393e-06
2005-01-05 19:00:00,-1.6725369322994785e-06
2005-01-05 20:00:00,-1.672574496740319e-06
2005-01-05 21:00:00,-1.6725872113484814e-06
2005-01-05 22:00:00,-1.6725973690592885e-06
2005-01-05 23:00:00,-1.6726029370811568e-06
2005-01-06 00:00:00,-1.6726185256037673e-06
2005-01-06 01:00:00,-1.672617206406892e-06
2005-01-06 02:00:00,-1.6726149704619745e-06
2005-01-06 03:00:00,-1.6726132845842098e-06
2005-01-06 04:00:00,-1.6726293879646721e-06
2005-01-06 05:00:00,-1.6726271340620505e-06
2005-01-06 06:00:00,-1.6726495578750212e-06
2005-01-06 07:00:00,-1.6726692497601998e-06
2005-01-06 08:00:00,-1.6726773726948656e-06
2005-01-06 09:00:00,-1.672690789001755e-06
2005-01-06 10:00:00,-1.6727026627727285e-06
2005-01-06 11:00:00,-1.6727164035966093e-06
2005-01-06 12:00:00,-1.6727539680605707e-06
2005-01-06 13:00:00,-1.6727652878834118e-06
2005-01-06 14:00:00,-1.6727715734137904e-06
2005-01-06 15:00:00,-1.6727793930031815e-06
2005-01-06 16:00:00,-1.6727856838119966e-06
2005-01-06 17:00:00,-1.672794202798614e-06
2005-01-06 18:00:00,-1.6728071349456186e-06
2005-01-06 19:00:00,-1.6728233103002687e-06
2005-01-06 20:00:00,-1.6728608747780087e-06
2005-01-06 21:00:00,-1.672867168818173e-06
2005-01-06 22:00:00,-1.6728772607515651e-06
2005-01-06 23:00:00,-1.6728840387027473e-06
2005-01-07 00:00:00,-1.6728996297318917e-06
2005-01-07 01:00:00,-1.672901428100697e-06
2005-01-07 02:00:00,-1.6728991928246833e-06
2005-01-07 03:00:00,-1.6728966077411898e-06
2005-01-07 04:00:00,-1.6728982792490697e-06
2005-01-07 05:00:00,-1.6728960259944815e-06
2005-01-07 06:00:00,-1.6729160700787107e-06
2005-01-07 07:00:00,-1.6729252501142739e-06
2005-01-07 08:00:00,-1.672935756562588e-06
2005-01-07 09:00:00,-1.6729555094764005e-06
2005-01-07 10:00:00,-1.672965004780937e-06
2005-01-07 11:00:00,-1.6729787506917488e-06
2005-01-07 12:00:00,-1.6730057632299205e-06
2005-01-07 13:00:00,-1.6730327758892644e-06
2005-01-07 14:00:00,-1.6730390641066814e-06
2005-01-07 15:00:00,-1.6730446342903907e-06
2005-01-07 16:00:00,-1.6730613503607e-06
2005-01-07 17:00:00,-1.6730698708274666e-06
2005-01-07 18:00:00,-1.6730804223505379e-06
2005-01-07 19:00:00,-1.6730965999228705e-06
2005-01-07 20:00:00,-1.6731099270951208e-06
2005-01-07 21:00:00,-1.6731225097864751e-06
2005-01-07 22:00:00,-1.6731459078089822e-06
2005-01-07 23:00:00,-1.6731565952027826e-06
2005-01-08 00:00:00,-1.6731641955794156e-06
2005-01-08 01:00:00,-1.673165510371708e-06
2005-01-08 02:00:00,-1.673164208821055e-06
2005-01-08 03:00:00,-1.6731796590014223e-06
2005-01-08 04:00:00,-1.6732172235251287e-06
2005-01-08 05:00:00,-1.6732217428476983e-06
2005-01-08 06:00:00,-1.6732245971755161e-06
2005-01-08 07:00:00,-1.6732292924952177e-06
2005-01-08 08:00:00,-1.6732393242773104e-06
2005-01-08 09:00:00,-1.6732493818392153e-06
2005-01-08 10:00:00,-1.673262989885247e-06
2005-01-08 11:00:00,-1.6732717752767345e-06
2005-01-08 12:00:00,-1.673309339812333e-06
2005-01-08 13:00:00,-1.673317649026654e-06
2005-01-08 14:00:00,-1.673326991990409e-06
2005-01-08 15:00:00,-1.6733397166987135e-06
2005-01-08 16:00:00,-1.6733468383962005e-06
2005-01-08 17:00:00,-1.6733549144607875e-06
2005-01-08 18:00:00,-1.673367994235547e-06
2005-01-08 19:00:00,-1.6733881726188592e-06
2005-01-08 20:00:00,-1.6734026817567822e-06
