timesteps,Moz-North-Center
2005-01-01 00:00:00,-5.284738324614317e-07
2005-01-01 01:00:00,-5.284651676850946e-07
2005-01-01 02:00:00,-5.284565113634342e-07
2005-01-01 03:00:00,-5.284500110140431e-07
2005-01-01 04:00:00,-5.284448178529881e-07
2005-01-01 05:00:00,-5.284392749921855e-07
2005-01-01 06:00:00,-5.284329027558353e-07
2005-01-01 07:00:00,-5.284232609478843e-07
2005-01-01 08:00:00,-5.284228308037943e-07
2005-01-01 09:00:00,-5.284216470277375e-07
2005-01-01 10:00:00,-5.28446059420601e-07
2005-01-01 11:00:00,-5.284703578064439e-07
2005-01-01 12:00:00,-5.284946607454635e-07
2005-01-01 13:00:00,-5.285190850542557e-07
2005-01-01 14:00:00,-5.285436284156269e-07
2005-01-01 15:00:00,-5.285682110268251e-07
2005-01-01 16:00:00,-5.285928774042826e-07
2005-01-01 17:00:00,-5.28617534312119e-07
2005-01-01 18:00:00,-5.286418650267575e-07
2005-01-01 19:00:00,-5.286620320963591e-07
2005-01-01 20:00:00,-5.286842217533841e-07
2005-01-01 21:00:00,-5.287086820757174e-07
2005-01-01 22:00:00,-5.287335028190539e-07
2005-01-01 23:00:00,-5.287584820643611e-07
2005-01-02 00:00:00,-5.287567213817383e-07
2005-01-02 01:00:00,-5.287480431184479e-07
2005-01-02 02:00:00,-5.287392951507818e-07
2005-01-02 03:00:00,-5.287315811786914e-07
2005-01-02 04:00:00,-5.287256209909432e-07
2005-01-02 05:00:00,-5.28719011236284e-07
2005-01-02 06:00:00,-5.287095756334878e-07
2005-01-02 07:00:00,-5.287051606056512e-07
2005-01-02 08:00:00,-5.28704734055645e-07
2005-01-02 09:00:00,-5.287170936723685e-07
2005-01-02 10:00:00,-5.28741561946539e-07
2005-01-02 11:00:00,-5.287659163972047e-07
2005-01-02 12:00:00,-5.287902754200334e-07
2005-01-02 13:00:00,-5.288147566563768e-07
2005-01-02 14:00:00,-5.288393565452851e-07
2005-01-02 15:00:00,-5.288639951908079e-07
2005-01-02 16:00:00,-5.28888717986383e-07
2005-01-02 17:00:00,-5.289134314716649e-07
2005-01-02 18:00:00,-5.289378183824281e-07
2005-01-02 19:00:00,-5.289580355720511e-07
2005-01-02 20:00:00,-5.289802784358477e-07
2005-01-02 21:00:00,-5.29004795842324e-07
2005-01-02 22:00:00,-5.290296736473333e-07
2005-01-02 23:00:00,-5.290547102325149e-07
2005-01-03 00:00:00,-5.290627939786137e-07
2005-01-03 01:00:00,-5.29060773452153e-07
2005-01-03 02:00:00,-5.290585060985307e-07
2005-01-03 03:00:00,-5.290567272536367e-07
2005-01-03 04:00:00,-5.290491864779806e-07
2005-01-03 05:00:00,-5.29040905051557e-07
2005-01-03 06:00:00,-5.290392047192216e-07
2005-01-03 07:00:00,-5.290381215870395e-07
2005-01-03 08:00:00,-5.290376000394418e-07
2005-01-03 09:00:00,-5.290621287609625e-07
2005-01-03 10:00:00,-5.290866104560006e-07
2005-01-03 11:00:00,-5.291110608895147e-07
2005-01-03 12:00:00,-5.291354849934782e-07
2005-01-03 13:00:00,-5.291603611577739e-07
2005-01-03 14:00:00,-5.291852485864071e-07
2005-01-03 15:00:00,-5.292101613238949e-07
2005-01-03 16:00:00,-5.292350908060887e-07
2005-01-03 17:00:00,-5.292596277828305e-07
2005-01-03 18:00:00,-5.292832734232449e-07
2005-01-03 19:00:00,-5.293051186309955e-07
2005-01-03 20:00:00,-5.293282211417327e-07
2005-01-03 21:00:00,-5.293534400505066e-07
2005-01-03 22:00:00,-5.293791615424066e-07
2005-01-03 23:00:00,-5.294044239539101e-07
2005-01-04 00:00:00,-5.294023838289363e-07
2005-01-04 01:00:00,-5.294003633212736e-07
2005-01-04 02:00:00,-5.293937778015743e-07
2005-01-04 03:00:00,-5.293851805929268e-07
2005-01-04 04:00:00,-5.293767534271184e-07
2005-01-04 05:00:00,-5.293684570283635e-07
2005-01-04 06:00:00,-5.293613923228816e-07
2005-01-04 07:00:00,-5.293603144295982e-07
2005-01-04 08:00:00,-5.293597983140556e-07
2005-01-04 09:00:00,-5.293803864969355e-07
2005-01-04 10:00:00,-5.294049281749624e-07
2005-01-04 11:00:00,-5.294294385656251e-07
2005-01-04 12:00:00,-5.294539226951417e-07
2005-01-04 13:00:00,-5.29478859799687e-07
2005-01-04 14:00:00,-5.295038083852048e-07
2005-01-04 15:00:00,-5.295287824150688e-07
2005-01-04 16:00:00,-5.295537731641307e-07
2005-01-04 17:00:00,-5.295783705714929e-07
