locs,techs,energy_cap_equals
Botswana,Coal,732000.0
Botswana,DieselEngine,70000.0
Botswana,ElectricTransmission132kV:SudAfrica,193000.0
Botswana,ElectricTransmission132kV:Zimbabwe,288000.0
Botswana,ElectricTransmission400kV:SudAfrica,420000.0
Botswana,ElectricTransmission400kV:Zimbabwe,581000.0
Botswana,OCGT,90000.0
Moz-North-Center,DieselEngine,116.34
Moz-North-Center,ElectricTransmission400kV:Zimbabwe,507000.0
Moz-North-Center,ElectricTransmission533kV:SudAfrica,1920000.0
Moz-North-Center,OCGT,14000.0
Moz-North-Center,WaterDTransmission:Zambia,1000000000.0
Moz-North-Center,WaterDTransmission:Zimbabwe,1000000000.0
Moz-North-Center,hydroD,2075000.0
Moz-North-Center,spillageD,100000000000.0
Moz-South,DieselEngine,8.2
Moz-South,ElectricTransmission275kV:SudAfrica,112000.0
Moz-South,ElectricTransmission400kV:SudAfrica,2690000.0
Moz-South,GasEngine,499600.0
Moz-South,OCGT,24000.0
Moz-South,hydro,16600.0
Namibia,Coal,120000.0
Namibia,DieselEngine,38500.0
Namibia,ElectricTransmission132kV:Zambia,120000.0
Namibia,ElectricTransmission275kV:SudAfrica,241000.0
Namibia,ElectricTransmission400kV:SudAfrica,342000.0
Namibia,hydro,300000.0
SudAfrica,Coal,37868000.0
SudAfrica,ElectricTransmission132kV:Botswana,193000.0
SudAfrica,ElectricTransmission275kV:Moz-South,112000.0
SudAfrica,ElectricTransmission275kV:Namibia,241000.0
SudAfrica,ElectricTransmission400kV:Botswana,420000.0
SudAfrica,ElectricTransmission400kV:Moz-South,2690000.0
SudAfrica,ElectricTransmission400kV:Namibia,342000.0
SudAfrica,ElectricTransmission533kV:Moz-North-Center,1920000.0
SudAfrica,Nuclear,1860000.0
SudAfrica,OCGT,3409000.0
SudAfrica,PV,1474000.0
SudAfrica,Wind,2078000.0
SudAfrica,hydro,600000.0
Zambia,Coal,300000.0
Zambia,DieselEngine,88880.0
Zambia,ElectricTransmission132kV:Namibia,120000.0
Zambia,ElectricTransmission330kV:Zimbabwe,642000.0
Zambia,HFO,110000.0
Zambia,PV,1000.0
Zambia,WaterCTransmission:Zimbabwe,1000000000.0
Zambia,WaterDTransmission:Moz-North-Center,1000000000.0
Zambia,hydro,207500.0
Zambia,hydroA,120000.0
Zambia,hydroB,990000.0
Zambia,hydroC,1080000.0
Zambia,spillageA,100000000000.0
Zambia,spillageB,100000000000.0
Zambia,spillageC,100000000000.0
Zimbabwe,Biomass,96500.0
Zimbabwe,Coal,920000.0
Zimbabwe,Coal_old,270000.0
Zimbabwe,ElectricTransmission132kV:Botswana,288000.0
Zimbabwe,ElectricTransmission330kV:Zambia,642000.0
Zimbabwe,ElectricTransmission400kV:Botswana,581000.0
Zimbabwe,ElectricTransmission400kV:Moz-North-Center,507000.0
Zimbabwe,WaterCTransmission:Zambia,1000000000.0
Zimbabwe,WaterDTransmission:Moz-North-Center,1000000000.0
Zimbabwe,hydroC,750000.0
