techs,names
Coal,Coal
demand_waterB,Water demand2
Biomass,Biomass
spillageD,spillageKariba
hydro,Hydro
storageA,ITT
GasEngine,GasEngine
supply_water0,inflow_VF
supply_waterC,inflow_Kariba
supply_waterD,inflow_Cahora
PV,PV
hydroB,KafueGorge
hydroD,Cahora
hydroA,ITT
hydro0,VictoriaFalls
WaterCTransmission,WaterCTransmission
supply_waterB,inflow_KafueGorge
ConversionPlusA,from waterA to hpA
ElectricTransmission275kV,ElectricTransmission275kV
spillageC,spillageKariba
ElectricTransmission220kV,ElectricTransmission220kV
ElectricTransmission330kV,ElectricTransmission330kV
ConversionPlusB,from waterB to hpB
ElectricTransmission132kV,ElectricTransmission132kV
OCGT,OCGT
Wind,Wind
DieselEngine,DieselEngine
demand_waterA,Water demand1
Nuclear,Nuclear
ConversionPlus0,from water0 to hp0
spillageB,spillageKafueGorge
ConversionPlusC,from waterC to hpC
storageC,Kariba
demand_waterC,Water demand3
ElectricTransmission400kV,ElectricTransmission400kV
ElectricTransmission533kV,ElectricTransmission533kV
spillageA,spillageITT color: 
storageB,KafueGorge
hydroC,Kariba
storageD,Cahora
WaterDTransmission,WaterDTransmission
HFO,HFO
Coal_old,Coal_old
demand_power,Power demand
supply_waterA,inflow_ITT
