timesteps,Zambia
2005-01-01 00:00:00,-9.442565037519427e-05
2005-01-01 01:00:00,-9.442833337746352e-05
2005-01-01 02:00:00,-9.443099115959315e-05
2005-01-01 03:00:00,-9.443362354332087e-05
2005-01-01 04:00:00,-9.44362303487004e-05
2005-01-01 05:00:00,-9.443881139408161e-05
2005-01-01 06:00:00,-9.444136649609022e-05
2005-01-01 07:00:00,-9.44438954696073e-05
2005-01-01 08:00:00,-9.444639812774854e-05
2005-01-01 09:00:00,-9.444887428184309e-05
2005-01-01 10:00:00,-9.445132374141217e-05
2005-01-01 11:00:00,-9.445374631414747e-05
2005-01-01 12:00:00,-9.445614180588892e-05
2005-01-01 13:00:00,-9.445851002060256e-05
2005-01-01 14:00:00,-9.446085076035767e-05
2005-01-01 15:00:00,-9.446316382530404e-05
2005-01-01 16:00:00,-9.446544901364839e-05
2005-01-01 17:00:00,-9.446770612163084e-05
2005-01-01 18:00:00,-9.446993494350081e-05
2005-01-01 19:00:00,-9.447213527149279e-05
2005-01-01 20:00:00,-9.447430689580142e-05
2005-01-01 21:00:00,-9.447644960455657e-05
2005-01-01 22:00:00,-9.447856318379775e-05
2005-01-01 23:00:00,-9.448064741744835e-05
2005-01-02 00:00:00,-9.44827020872893e-05
2005-01-02 01:00:00,-9.448472697293271e-05
2005-01-02 02:00:00,-9.44867218517945e-05
2005-01-02 03:00:00,-9.448868649906725e-05
2005-01-02 04:00:00,-9.449062068769225e-05
2005-01-02 05:00:00,-9.449252418833124e-05
2005-01-02 06:00:00,-9.449439676933786e-05
2005-01-02 07:00:00,-9.449623819672836e-05
2005-01-02 08:00:00,-9.449804823415212e-05
2005-01-02 09:00:00,-9.449982664286174e-05
2005-01-02 10:00:00,-9.450157318168246e-05
2005-01-02 11:00:00,-9.450328760698116e-05
2005-01-02 12:00:00,-9.450496967263527e-05
2005-01-02 13:00:00,-9.450661913000054e-05
2005-01-02 14:00:00,-9.450823572787884e-05
2005-01-02 15:00:00,-9.450981921248525e-05
2005-01-02 16:00:00,-9.451136932741472e-05
