costs,locs,techs,cost_om_con
monetary,Botswana,Coal,0.007
monetary,Botswana,DieselEngine,0.049284
monetary,Botswana,OCGT,0.049284
monetary,Moz-North-Center,DieselEngine,0.049284
monetary,Moz-North-Center,OCGT,0.049284
monetary,Moz-South,DieselEngine,0.049284
monetary,Moz-South,GasEngine,0.010908
monetary,Moz-South,OCGT,0.049284
monetary,Namibia,Coal,0.007
monetary,Namibia,DieselEngine,0.049284
monetary,SudAfrica,Coal,0.007
monetary,SudAfrica,Nuclear,0.0041
monetary,SudAfrica,OCGT,0.049284
monetary,Zambia,Coal,0.007
monetary,Zambia,DieselEngine,0.049284
monetary,Zambia,HFO,0.0139
monetary,Zimbabwe,Coal,0.007
monetary,Zimbabwe,Coal_old,0.007
