techs,colors
demand_waterA,#BD07FB
demand_waterB,#BD07FB
demand_power,#072486
spillageB,#FFAE02
Coal_old,#5E5E5E
storageB,#FF02EF
Coal,#CCCCCC
HFO,#AF2D2D
hydro,#02FFD3
hydroD,#003C72
ElectricTransmission275kV,#8465A9
storageA,#FF02EF
supply_water0,#0287FF
Biomass,#20FF30
hydroB,#1D3EFF
ConversionPlusC,#3c7632
storageD,#3B61E3
supply_waterB,#0287FF
storageC,#FF02EF
spillageC,#FFAE02
WaterDTransmission,#000572
ConversionPlus0,#19122b
supply_waterD,#07FBF5
DieselEngine,#E33B78
OCGT,#E84C4C
hydroA,#1DFF97
ElectricTransmission400kV,#8465A9
demand_waterC,#BD07FB
hydroC,#118EC2
supply_waterA,#0287FF
GasEngine,#E9A603
ElectricTransmission330kV,#8465A9
Wind,#FF2020
ElectricTransmission220kV,#8465A9
Nuclear,#84008A
hydro0,#1DFF97
spillageA,#7e7a36
ConversionPlusB,#185b48
spillageD,#FFAE02
ElectricTransmission533kV,#8465A9
PV,#F3F311
ElectricTransmission132kV,#8465A9
supply_waterC,#0287FF
ConversionPlusA,#17344c
WaterCTransmission,#000572
