timesteps,Zambia
2005-01-01 00:00:00,-1.6715370572167497e-06
2005-01-01 01:00:00,-1.6715289022216112e-06
2005-01-01 02:00:00,-1.6715207472266997e-06
2005-01-01 03:00:00,-1.6715125922320154e-06
2005-01-01 04:00:00,-1.6715044372375577e-06
2005-01-01 05:00:00,-1.6714962822433276e-06
2005-01-01 06:00:00,-1.6714881272493246e-06
2005-01-01 07:00:00,-1.6714801939305576e-06
2005-01-01 08:00:00,-1.6714720389370029e-06
2005-01-01 09:00:00,-1.6714638839436751e-06
2005-01-01 10:00:00,-1.6714557289505748e-06
2005-01-01 11:00:00,-1.6714480051303376e-06
2005-01-01 12:00:00,-1.671440658341186e-06
2005-01-01 13:00:00,-1.6714325033487318e-06
2005-01-01 14:00:00,-1.6714243483565052e-06
2005-01-01 15:00:00,-1.6714161933645058e-06
2005-01-01 16:00:00,-1.6714080383727332e-06
2005-01-01 17:00:00,-1.6713998833811878e-06
2005-01-01 18:00:00,-1.6713929172025417e-06
2005-01-01 19:00:00,-1.671389197719404e-06
2005-01-01 20:00:00,-1.671384573042581e-06
2005-01-01 21:00:00,-1.6713775351164487e-06
2005-01-01 22:00:00,-1.6713693801257527e-06
2005-01-01 23:00:00,-1.6713612251352833e-06
2005-01-02 00:00:00,-1.6713530701450417e-06
2005-01-02 01:00:00,-1.6713449151550265e-06
2005-01-02 02:00:00,-1.6713367601652383e-06
2005-01-02 03:00:00,-1.671328605175677e-06
2005-01-02 04:00:00,-1.671320450186343e-06
2005-01-02 05:00:00,-1.6713122951972365e-06
2005-01-02 06:00:00,-1.671304140208356e-06
2005-01-02 07:00:00,-1.6712962068151343e-06
2005-01-02 08:00:00,-1.6712880518267022e-06
2005-01-02 09:00:00,-1.6712798968384969e-06
2005-01-02 10:00:00,-1.6712717418505186e-06
2005-01-02 11:00:00,-1.671264017003986e-06
2005-01-02 12:00:00,-1.671256670446505e-06
2005-01-02 13:00:00,-1.6712485154591729e-06
2005-01-02 14:00:00,-1.671240360472068e-06
2005-01-02 15:00:00,-1.67123220548519e-06
2005-01-02 16:00:00,-1.6712240504985392e-06
2005-01-02 17:00:00,-1.6712158955121148e-06
2005-01-02 18:00:00,-1.6712089284127297e-06
2005-01-02 19:00:00,-1.671205208653831e-06
2005-01-02 20:00:00,-1.6712005837585695e-06
2005-01-02 21:00:00,-1.6711935457668195e-06
2005-01-02 22:00:00,-1.6711853907812436e-06
2005-01-02 23:00:00,-1.671177235795896e-06
2005-01-03 00:00:00,-1.6711690808107743e-06
2005-01-03 01:00:00,-1.671160925825879e-06
2005-01-03 02:00:00,-1.671152770841212e-06
2005-01-03 03:00:00,-1.6711446158567708e-06
2005-01-03 04:00:00,-1.671136460872557e-06
2005-01-03 05:00:00,-1.6711283058885696e-06
2005-01-03 06:00:00,-1.6711201821197242e-06
2005-01-03 07:00:00,-1.6711157548276617e-06
2005-01-03 08:00:00,-1.6711097277089378e-06
2005-01-03 09:00:00,-1.6711015727256944e-06
2005-01-03 10:00:00,-1.671093417742677e-06
2005-01-03 11:00:00,-1.671085919686967e-06
2005-01-03 12:00:00,-1.6710793140032673e-06
2005-01-03 13:00:00,-1.6710711806857981e-06
2005-01-03 14:00:00,-1.6710630257036267e-06
2005-01-03 15:00:00,-1.6710548707216822e-06
2005-01-03 16:00:00,-1.671046715739964e-06
2005-01-03 17:00:00,-1.671039894475063e-06
2005-01-03 18:00:00,-1.6710341130917018e-06
2005-01-03 19:00:00,-1.6710299307319342e-06
2005-01-03 20:00:00,-1.6710255287991015e-06
2005-01-03 21:00:00,-1.671017373818199e-06
2005-01-03 22:00:00,-1.671009218837524e-06
2005-01-03 23:00:00,-1.6710010638570757e-06
2005-01-04 00:00:00,-1.670992908876854e-06
2005-01-04 01:00:00,-1.6709847538968588e-06
2005-01-04 02:00:00,-1.670976598917091e-06
2005-01-04 03:00:00,-1.6709684439375496e-06
2005-01-04 04:00:00,-1.6709602889582347e-06
2005-01-04 05:00:00,-1.6709521339791464e-06
2005-01-04 06:00:00,-1.6709440097788714e-06
2005-01-04 07:00:00,-1.670939581244403e-06
2005-01-04 08:00:00,-1.6709335534554956e-06
2005-01-04 09:00:00,-1.670925398477151e-06
2005-01-04 10:00:00,-1.670917243499033e-06
2005-01-04 11:00:00,-1.6709097470843368e-06
2005-01-04 12:00:00,-1.670903142442451e-06
2005-01-04 13:00:00,-1.6708950097403813e-06
2005-01-04 14:00:00,-1.6708868547631082e-06
2005-01-04 15:00:00,-1.6708786997860609e-06
2005-01-04 16:00:00,-1.6708705448092413e-06
2005-01-04 17:00:00,-1.6708637240917367e-06
2005-01-04 18:00:00,-1.6708579434759162e-06
2005-01-04 19:00:00,-1.670853760880208e-06
2005-01-04 20:00:00,-1.6708493587247467e-06
2005-01-04 21:00:00,-1.6708412037487416e-06
2005-01-04 22:00:00,-1.670833048772964e-06
2005-01-04 23:00:00,-1.670824893797412e-06
2005-01-05 00:00:00,-1.6708167388220873e-06
2005-01-05 01:00:00,-1.6708085838469885e-06
2005-01-05 02:00:00,-1.670800428872117e-06
2005-01-05 03:00:00,-1.6707922738974718e-06
2005-01-05 04:00:00,-1.6707841189230532e-06
2005-01-05 05:00:00,-1.6707759639488615e-06
2005-01-05 06:00:00,-1.670767839824921e-06
2005-01-05 07:00:00,-1.6707634113525039e-06
2005-01-05 08:00:00,-1.6707573838148872e-06
2005-01-05 09:00:00,-1.6707492288414372e-06
2005-01-05 10:00:00,-1.670741073868215e-06
2005-01-05 11:00:00,-1.6707335755719589e-06
2005-01-05 12:00:00,-1.6707269696124038e-06
2005-01-05 13:00:00,-1.6707188364334523e-06
2005-01-05 14:00:00,-1.6707106814610737e-06
2005-01-05 15:00:00,-1.6707025264889222e-06
2005-01-05 16:00:00,-1.6706943715169965e-06
2005-01-05 17:00:00,-1.6706875499602258e-06
2005-01-05 18:00:00,-1.6706817680631587e-06
2005-01-05 19:00:00,-1.6706775852315338e-06
2005-01-05 20:00:00,-1.6706731828534662e-06
2005-01-05 21:00:00,-1.6706650278823553e-06
2005-01-05 22:00:00,-1.6706568729114718e-06
2005-01-05 23:00:00,-1.6706487179408143e-06
2005-01-06 00:00:00,-1.6706405629703837e-06
2005-01-06 01:00:00,-1.6706324080001785e-06
2005-01-06 02:00:00,-1.6706242530302003e-06
2005-01-06 03:00:00,-1.6706160980604486e-06
2005-01-06 04:00:00,-1.670607943090924e-06
2005-01-06 05:00:00,-1.670599788121625e-06
2005-01-06 06:00:00,-1.6705916639667656e-06
2005-01-06 07:00:00,-1.670587235104844e-06
2005-01-06 08:00:00,-1.6705812064945471e-06
2005-01-06 09:00:00,-1.6705730515259904e-06
2005-01-06 10:00:00,-1.6705648965576605e-06
2005-01-06 11:00:00,-1.6705573971084559e-06
2005-01-06 12:00:00,-1.6705507902871323e-06
