techs,colors
storageD,#3B61E3
PV,#F3F311
hydro0,#1DFF97
supply_waterB,#0287FF
ElectricTransmission400kV,#8465A9
WaterCTransmission,#000572
demand_power,#072486
DieselEngine,#E33B78
ElectricTransmission533kV,#8465A9
ConversionPlus0,#19122b
demand_waterA,#BD07FB
spillageC,#FFAE02
demand_waterC,#BD07FB
Coal_old,#5E5E5E
ConversionPlusC,#3c7632
ElectricTransmission330kV,#8465A9
hydroB,#1D3EFF
ElectricTransmission275kV,#8465A9
hydroC,#118EC2
OCGT,#E84C4C
hydro,#02FFD3
supply_waterA,#0287FF
ConversionPlusB,#185b48
supply_water0,#0287FF
supply_waterD,#07FBF5
Biomass,#20FF30
supply_waterC,#0287FF
spillageA,#7e7a36
demand_waterB,#BD07FB
hydroA,#1DFF97
storageC,#FF02EF
Wind,#FF2020
GasEngine,#E9A603
ElectricTransmission220kV,#8465A9
WaterDTransmission,#000572
spillageD,#FFAE02
ConversionPlusA,#17344c
hydroD,#003C72
ElectricTransmission132kV,#8465A9
Coal,#CCCCCC
storageB,#FF02EF
HFO,#AF2D2D
spillageB,#FFAE02
Nuclear,#84008A
storageA,#FF02EF
