techs,names
storageD,Cahora
PV,PV
hydro0,VictoriaFalls
supply_waterB,inflow_KafueGorge
ElectricTransmission400kV,ElectricTransmission400kV
WaterCTransmission,WaterCTransmission
demand_power,Power demand
DieselEngine,DieselEngine
ElectricTransmission533kV,ElectricTransmission533kV
ConversionPlus0,from water0 to hp0
demand_waterA,Water demand1
spillageC,spillageKariba
demand_waterC,Water demand3
Coal_old,Coal_old
ConversionPlusC,from waterC to hpC
ElectricTransmission330kV,ElectricTransmission330kV
hydroB,KafueGorge
ElectricTransmission275kV,ElectricTransmission275kV
hydroC,Kariba
OCGT,OCGT
hydro,Hydro
supply_waterA,inflow_ITT
ConversionPlusB,from waterB to hpB
supply_water0,inflow_VF
supply_waterD,inflow_Cahora
Biomass,Biomass
supply_waterC,inflow_Kariba
spillageA,spillageITT color: 
demand_waterB,Water demand2
hydroA,ITT
storageC,Kariba
Wind,Wind
GasEngine,GasEngine
ElectricTransmission220kV,ElectricTransmission220kV
WaterDTransmission,WaterDTransmission
spillageD,spillageKariba
ConversionPlusA,from waterA to hpA
hydroD,Cahora
ElectricTransmission132kV,ElectricTransmission132kV
Coal,Coal
storageB,KafueGorge
HFO,HFO
spillageB,spillageKafueGorge
Nuclear,Nuclear
storageA,ITT
