locs,techs,timesteps,storage
Moz-North-Center,storageD,2005-01-01 00:00:00,44152557501.062485
Moz-North-Center,storageD,2005-01-01 01:00:00,44153285308.54779
Moz-North-Center,storageD,2005-01-01 02:00:00,44154026436.70126
Moz-North-Center,storageD,2005-01-01 03:00:00,44154781692.20382
Moz-North-Center,storageD,2005-01-01 04:00:00,44155548625.68127
Moz-North-Center,storageD,2005-01-01 05:00:00,44156407445.19202
Moz-North-Center,storageD,2005-01-01 06:00:00,44157381384.29225
Moz-North-Center,storageD,2005-01-01 07:00:00,44158372652.75637
Moz-North-Center,storageD,2005-01-01 08:00:00,44159347404.30973
Moz-North-Center,storageD,2005-01-01 09:00:00,44160290558.64201
Moz-North-Center,storageD,2005-01-01 10:00:00,44161185699.52006
Moz-North-Center,storageD,2005-01-01 11:00:00,44162169057.299034
Moz-North-Center,storageD,2005-01-01 12:00:00,44163223621.94264
Moz-North-Center,storageD,2005-01-01 13:00:00,44164188549.77154
Moz-North-Center,storageD,2005-01-01 14:00:00,44165063648.545975
Moz-North-Center,storageD,2005-01-01 15:00:00,44165912092.73946
Moz-North-Center,storageD,2005-01-01 16:00:00,44166811133.99683
Moz-North-Center,storageD,2005-01-01 17:00:00,44167771848.6921
Moz-North-Center,storageD,2005-01-01 18:00:00,44168741323.25773
Moz-North-Center,storageD,2005-01-01 19:00:00,44169989998.93721
Moz-North-Center,storageD,2005-01-01 20:00:00,44171009016.87808
Moz-North-Center,storageD,2005-01-01 21:00:00,44171902188.44717
Moz-North-Center,storageD,2005-01-01 22:00:00,44172705742.11901
Moz-North-Center,storageD,2005-01-01 23:00:00,44173504250.22476
Moz-North-Center,storageD,2005-01-02 00:00:00,44174261863.93448
Moz-North-Center,storageD,2005-01-02 01:00:00,44174989779.38752
Moz-North-Center,storageD,2005-01-02 02:00:00,44175731014.446655
Moz-North-Center,storageD,2005-01-02 03:00:00,44176486374.96207
Moz-North-Center,storageD,2005-01-02 04:00:00,44177253412.32205
Moz-North-Center,storageD,2005-01-02 05:00:00,44178112329.58552
Moz-North-Center,storageD,2005-01-02 06:00:00,44179086453.75143
Moz-North-Center,storageD,2005-01-02 07:00:00,44180077925.87052
Moz-North-Center,storageD,2005-01-02 08:00:00,44181052901.10835
Moz-North-Center,storageD,2005-01-02 09:00:00,44181996325.57738
Moz-North-Center,storageD,2005-01-02 10:00:00,44182891823.72885
Moz-North-Center,storageD,2005-01-02 11:00:00,44183875492.135765
Moz-North-Center,storageD,2005-01-02 12:00:00,44184930330.34156
Moz-North-Center,storageD,2005-01-02 13:00:00,44185895510.7487
Moz-North-Center,storageD,2005-01-02 14:00:00,44186770852.60403
Moz-North-Center,storageD,2005-01-02 15:00:00,44187619572.12028
Moz-North-Center,storageD,2005-01-02 16:00:00,44188518848.43415
Moz-North-Center,storageD,2005-01-02 17:00:00,44189479774.10454
Moz-North-Center,storageD,2005-01-02 18:00:00,44190449491.40735
Moz-North-Center,storageD,2005-01-02 19:00:00,44191698436.07253
Moz-North-Center,storageD,2005-01-02 20:00:00,44192717719.88576
Moz-North-Center,storageD,2005-01-02 21:00:00,44193611128.37091
Moz-North-Center,storageD,2005-01-02 22:00:00,44194414892.55949
Moz-North-Center,storageD,2005-01-02 23:00:00,44194928624.12829
Moz-North-Center,storageD,2005-01-03 00:00:00,44193340480.196785
Moz-North-Center,storageD,2005-01-03 01:00:00,44188665470.59922
Moz-North-Center,storageD,2005-01-03 02:00:00,44183940479.21092
Moz-North-Center,storageD,2005-01-03 03:00:00,44179241072.51032
Moz-North-Center,storageD,2005-01-03 04:00:00,44174561931.78824
Moz-North-Center,storageD,2005-01-03 05:00:00,44169919944.65658
Moz-North-Center,storageD,2005-01-03 06:00:00,44165426355.27062
Moz-North-Center,storageD,2005-01-03 07:00:00,44161171590.83663
Moz-North-Center,storageD,2005-01-03 08:00:00,44156880118.366974
Moz-North-Center,storageD,2005-01-03 09:00:00,44152503508.41952
Moz-North-Center,storageD,2005-01-03 10:00:00,44148137115.754684
Moz-North-Center,storageD,2005-01-03 11:00:00,44143777562.98991
Moz-North-Center,storageD,2005-01-03 12:00:00,44139418063.007256
Moz-North-Center,storageD,2005-01-03 13:00:00,44134932703.66889
Moz-North-Center,storageD,2005-01-03 14:00:00,44130399830.579765
Moz-North-Center,storageD,2005-01-03 15:00:00,44125822862.22073
Moz-North-Center,storageD,2005-01-03 16:00:00,44121290334.94131
Moz-North-Center,storageD,2005-01-03 17:00:00,44116873724.379295
Moz-North-Center,storageD,2005-01-03 18:00:00,44112557737.54661
Moz-North-Center,storageD,2005-01-03 19:00:00,44108325145.875015
Moz-North-Center,storageD,2005-01-03 20:00:00,44104034742.51432
Moz-North-Center,storageD,2005-01-03 21:00:00,44099502679.417336
Moz-North-Center,storageD,2005-01-03 22:00:00,44094826658.2961
Moz-North-Center,storageD,2005-01-03 23:00:00,44090158202.12304
Moz-North-Center,storageD,2005-01-04 00:00:00,44085441380.80105
Moz-North-Center,storageD,2005-01-04 01:00:00,44080767845.44232
