timesteps,Zambia
2005-01-01 00:00:00,-9.442020941498388e-05
2005-01-01 01:00:00,-9.441745180532297e-05
2005-01-01 02:00:00,-9.441466967212084e-05
2005-01-01 03:00:00,-9.441186318550928e-05
2005-01-01 04:00:00,-9.440903251405004e-05
2005-01-01 05:00:00,-9.440617782475277e-05
2005-01-01 06:00:00,-9.440368464334207e-05
2005-01-01 07:00:00,-9.44013962560991e-05
2005-01-01 08:00:00,-9.439909339373157e-05
2005-01-01 09:00:00,-9.439658158935398e-05
2005-01-01 10:00:00,-9.439401730818424e-05
2005-01-01 11:00:00,-9.439169172590415e-05
2005-01-01 12:00:00,-9.438950388844287e-05
2005-01-01 13:00:00,-9.43870058004198e-05
2005-01-01 14:00:00,-9.438421133108468e-05
2005-01-01 15:00:00,-9.43812929661289e-05
2005-01-01 16:00:00,-9.437847524282847e-05
2005-01-01 17:00:00,-9.43758292503546e-05
2005-01-01 18:00:00,-9.437365325693798e-05
2005-01-01 19:00:00,-9.437189416084809e-05
2005-01-01 20:00:00,-9.437004945634496e-05
2005-01-01 21:00:00,-9.436759897959115e-05
2005-01-01 22:00:00,-9.436464899211673e-05
2005-01-01 23:00:00,-9.436145897972626e-05
2005-01-02 00:00:00,-9.435824738509889e-05
2005-01-02 01:00:00,-9.435501435174627e-05
2005-01-02 02:00:00,-9.435176002191042e-05
2005-01-02 03:00:00,-9.434848453657778e-05
2005-01-02 04:00:00,-9.434518803549319e-05
2005-01-02 05:00:00,-9.434187065717323e-05
2005-01-02 06:00:00,-9.433898247385955e-05
2005-01-02 07:00:00,-9.433633636996403e-05
2005-01-02 08:00:00,-9.433367783490373e-05
2005-01-02 09:00:00,-9.433078272109704e-05
2005-01-02 10:00:00,-9.432783232326847e-05
2005-01-02 11:00:00,-9.432516102826023e-05
2005-01-02 12:00:00,-9.432265167107147e-05
2005-01-02 13:00:00,-9.431979000831376e-05
2005-01-02 14:00:00,-9.431659346144562e-05
2005-01-02 15:00:00,-9.431326077067212e-05
2005-01-02 16:00:00,-9.431004829893843e-05
2005-01-02 17:00:00,-9.430703637083392e-05
2005-01-02 18:00:00,-9.430456336765874e-05
2005-01-02 19:00:00,-9.430256704923591e-05
2005-01-02 20:00:00,-9.430047538600454e-05
2005-01-02 21:00:00,-9.42976986405585e-05
2005-01-02 22:00:00,-9.42943596427187e-05
2005-01-02 23:00:00,-9.429075043784725e-05
2005-01-03 00:00:00,-9.428712238042459e-05
2005-01-03 01:00:00,-9.428347559030957e-05
2005-01-03 02:00:00,-9.427981018634717e-05
2005-01-03 03:00:00,-9.427612628637916e-05
2005-01-03 04:00:00,-9.427242400725474e-05
2005-01-03 05:00:00,-9.426870346484085e-05
2005-01-03 06:00:00,-9.426552624311131e-05
2005-01-03 07:00:00,-9.426332436039622e-05
2005-01-03 08:00:00,-9.426096326859135e-05
2005-01-03 09:00:00,-9.425824041372561e-05
2005-01-03 10:00:00,-9.425555092096675e-05
2005-01-03 11:00:00,-9.42528810830984e-05
2005-01-03 12:00:00,-9.425020265525881e-05
2005-01-03 13:00:00,-9.424698403379812e-05
2005-01-03 14:00:00,-9.424355149716013e-05
2005-01-03 15:00:00,-9.423991724126527e-05
2005-01-03 16:00:00,-9.423645764118689e-05
2005-01-03 17:00:00,-9.423348174564026e-05
2005-01-03 18:00:00,-9.42309285170541e-05
2005-01-03 19:00:00,-9.422872668071524e-05
2005-01-03 20:00:00,-9.422626882277803e-05
2005-01-03 21:00:00,-9.422275560899025e-05
2005-01-03 22:00:00,-9.421880810985322e-05
2005-01-03 23:00:00,-9.421484386982687e-05
2005-01-04 00:00:00,-9.421086299122944e-05
2005-01-04 01:00:00,-9.420686557554701e-05
2005-01-04 02:00:00,-9.420285172344195e-05
2005-01-04 03:00:00,-9.419882153476137e-05
2005-01-04 04:00:00,-9.419477510854529e-05
2005-01-04 05:00:00,-9.419071254303468e-05
2005-01-04 06:00:00,-9.418724877958386e-05
2005-01-04 07:00:00,-9.418485066342119e-05
2005-01-04 08:00:00,-9.41822804872945e-05
2005-01-04 09:00:00,-9.417931802291508e-05
2005-01-04 10:00:00,-9.417639390791494e-05
2005-01-04 11:00:00,-9.417349298398993e-05
2005-01-04 12:00:00,-9.417058437400836e-05
2005-01-04 13:00:00,-9.416709072822578e-05
2005-01-04 14:00:00,-9.416336729346512e-05
2005-01-04 15:00:00,-9.415942788896099e-05
2005-01-04 16:00:00,-9.415568070540347e-05
2005-01-04 17:00:00,-9.415245893926237e-05
2005-01-04 18:00:00,-9.414969580899702e-05
2005-01-04 19:00:00,-9.414731423362479e-05
2005-01-04 20:00:00,-9.414465688092354e-05
2005-01-04 21:00:00,-9.41408603825443e-05
2005-01-04 22:00:00,-9.413659702636363e-05
2005-01-04 23:00:00,-9.413231882417969e-05
2005-01-05 00:00:00,-9.412802586318187e-05
2005-01-05 01:00:00,-9.412371822987815e-05
2005-01-05 02:00:00,-9.41193960101018e-05
2005-01-05 03:00:00,-9.411505928901783e-05
2005-01-05 04:00:00,-9.411070815112962e-05
2005-01-05 05:00:00,-9.410634268028516e-05
2005-01-05 06:00:00,-9.410261513691877e-05
2005-01-05 07:00:00,-9.41000330086301e-05
2005-01-05 08:00:00,-9.409726668786953e-05
2005-01-05 09:00:00,-9.409407973843948e-05
2005-01-05 10:00:00,-9.40909340016584e-05
2005-01-05 11:00:00,-9.40878131714097e-05
2005-01-05 12:00:00,-9.408468434062426e-05
2005-01-05 13:00:00,-9.408092962922127e-05
2005-01-05 14:00:00,-9.407692987283757e-05
2005-01-05 15:00:00,-9.407269998393792e-05
2005-01-05 16:00:00,-9.406867641537217e-05
2005-01-05 17:00:00,-9.406521576633935e-05
2005-01-05 18:00:00,-9.406224606884388e-05
2005-01-05 19:00:00,-9.405968457708217e-05
2005-01-05 20:00:00,-9.405682903321329e-05
2005-01-05 21:00:00,-9.405275847933275e-05
2005-01-05 22:00:00,-9.404821370116509e-05
2005-01-05 23:00:00,-9.40436557003508e-05
2005-01-06 00:00:00,-9.403908455161617e-05
2005-01-06 01:00:00,-9.403450032912544e-05
2005-01-06 02:00:00,-9.402990310648614e-05
2005-01-06 03:00:00,-9.402529295675423e-05
2005-01-06 04:00:00,-9.40206699524393e-05
2005-01-06 05:00:00,-9.401603416550973e-05
2005-01-06 06:00:00,-9.401205316630122e-05
2005-01-06 07:00:00,-9.40092886543675e-05
2005-01-06 08:00:00,-9.400632934070378e-05
2005-01-06 09:00:00,-9.400292450752792e-05
2005-01-06 10:00:00,-9.399956420210052e-05
2005-01-06 11:00:00,-9.399623136897858e-05
2005-01-06 12:00:00,-9.399289119727669e-05
2005-01-06 13:00:00,-9.398888964379485e-05
2005-01-06 14:00:00,-9.398463036375416e-05
2005-01-06 15:00:00,-9.398012972150158e-05
2005-01-06 16:00:00,-9.397584926147733e-05
2005-01-06 17:00:00,-9.39721654575888e-05
2005-01-06 18:00:00,-9.39690015783534e-05
2005-01-06 19:00:00,-9.396626973137945e-05
2005-01-06 20:00:00,-9.396322797520604e-05
2005-01-06 21:00:00,-9.395890435710698e-05
2005-01-06 22:00:00,-9.395410739898118e-05
2005-01-06 23:00:00,-9.394929861882206e-05
2005-01-07 00:00:00,-9.39444780810019e-05
2005-01-07 01:00:00,-9.393964584942629e-05
2005-01-07 02:00:00,-9.393480198753874e-05
2005-01-07 03:00:00,-9.39299465583245e-05
2005-01-07 04:00:00,-9.392507962431487e-05
2005-01-07 05:00:00,-9.392020124759127e-05
2005-01-07 06:00:00,-9.391598733869619e-05
