carriers,locs,lookup_loc_carriers
power,Botswana,"Botswana::ElectricTransmission400kV:Zimbabwe::power,Botswana::Coal::power,Botswana::demand_power::power,Botswana::ElectricTransmission132kV:SudAfrica::power,Botswana::ElectricTransmission400kV:SudAfrica::power,Botswana::DieselEngine::power,Botswana::ElectricTransmission132kV:Zimbabwe::power,Botswana::OCGT::power"
power,Moz-North-Center,"Moz-North-Center::DieselEngine::power,Moz-North-Center::OCGT::power,Moz-North-Center::ElectricTransmission533kV:SudAfrica::power,Moz-North-Center::hydroD::power,Moz-North-Center::demand_power::power,Moz-North-Center::ElectricTransmission400kV:Zimbabwe::power"
power,Moz-South,"Moz-South::OCGT::power,Moz-South::hydro::power,Moz-South::DieselEngine::power,Moz-South::ElectricTransmission400kV:SudAfrica::power,Moz-South::GasEngine::power,Moz-South::ElectricTransmission275kV:SudAfrica::power,Moz-South::demand_power::power"
power,Namibia,"Namibia::hydro::power,Namibia::Coal::power,Namibia::DieselEngine::power,Namibia::ElectricTransmission132kV:Zambia::power,Namibia::ElectricTransmission275kV:SudAfrica::power,Namibia::demand_power::power,Namibia::ElectricTransmission400kV:SudAfrica::power"
power,SudAfrica,"SudAfrica::ElectricTransmission400kV:Namibia::power,SudAfrica::ElectricTransmission533kV:Moz-North-Center::power,SudAfrica::PV::power,SudAfrica::ElectricTransmission275kV:Moz-South::power,SudAfrica::Wind::power,SudAfrica::ElectricTransmission400kV:Moz-South::power,SudAfrica::ElectricTransmission400kV:Botswana::power,SudAfrica::ElectricTransmission275kV:Namibia::power,SudAfrica::demand_power::power,SudAfrica::ElectricTransmission132kV:Botswana::power,SudAfrica::Nuclear::power,SudAfrica::hydro::power,SudAfrica::Coal::power,SudAfrica::OCGT::power"
power,Zambia,"Zambia::demand_power::power,Zambia::ElectricTransmission330kV:Zimbabwe::power,Zambia::ElectricTransmission132kV:Namibia::power,Zambia::hydroC::power,Zambia::hydroA::power,Zambia::hydroB::power,Zambia::PV::power,Zambia::DieselEngine::power,Zambia::Coal::power,Zambia::hydro::power,Zambia::HFO::power"
power,Zimbabwe,"Zimbabwe::ElectricTransmission400kV:Moz-North-Center::power,Zimbabwe::hydroC::power,Zimbabwe::Coal_old::power,Zimbabwe::ElectricTransmission132kV:Botswana::power,Zimbabwe::ElectricTransmission330kV:Zambia::power,Zimbabwe::demand_power::power,Zimbabwe::ElectricTransmission400kV:Botswana::power,Zimbabwe::Coal::power,Zimbabwe::Biomass::power"
waterA,Zambia,"Zambia::spillageA::waterA,Zambia::supply_waterA::waterA,Zambia::storageA::waterA,Zambia::ConversionPlusA::waterA"
waterB,Zambia,"Zambia::supply_waterB::waterB,Zambia::spillageB::waterB,Zambia::storageB::waterB,Zambia::spillageA::waterB,Zambia::ConversionPlusB::waterB,Zambia::ConversionPlusA::waterB"
waterC,Zambia,"Zambia::storageC::waterC,Zambia::ConversionPlusC::waterC,Zambia::supply_waterC::waterC,Zambia::spillageC::waterC,Zambia::WaterCTransmission:Zimbabwe::waterC"
waterC,Zimbabwe,"Zimbabwe::ConversionPlusC::waterC,Zimbabwe::WaterCTransmission:Zambia::waterC"
waterD,Moz-North-Center,"Moz-North-Center::hydroD::waterD,Moz-North-Center::WaterDTransmission:Zimbabwe::waterD,Moz-North-Center::storageD::waterD,Moz-North-Center::spillageD::waterD,Moz-North-Center::WaterDTransmission:Zambia::waterD,Moz-North-Center::supply_waterD::waterD"
waterD,Zambia,"Zambia::ConversionPlusB::waterD,Zambia::spillageC::waterD,Zambia::WaterDTransmission:Moz-North-Center::waterD,Zambia::ConversionPlusC::waterD,Zambia::spillageB::waterD"
waterD,Zimbabwe,"Zimbabwe::ConversionPlusC::waterD,Zimbabwe::WaterDTransmission:Moz-North-Center::waterD"
waterE,Moz-North-Center,Moz-North-Center::spillageD::waterE
water_to_hpA,Zambia,"Zambia::hydroA::water_to_hpA,Zambia::ConversionPlusA::water_to_hpA"
water_to_hpB,Zambia,"Zambia::hydroB::water_to_hpB,Zambia::ConversionPlusB::water_to_hpB"
water_to_hpC,Zambia,"Zambia::hydroC::water_to_hpC,Zambia::ConversionPlusC::water_to_hpC"
water_to_hpC,Zimbabwe,"Zimbabwe::ConversionPlusC::water_to_hpC,Zimbabwe::hydroC::water_to_hpC"
