locs,techs,timesteps,storage
Moz-North-Center,storageD,2005-01-01 00:00:00,44159187057.85118
Moz-North-Center,storageD,2005-01-01 01:00:00,44151051028.85118
Moz-North-Center,storageD,2005-01-01 02:00:00,44142914999.85118
Moz-North-Center,storageD,2005-01-01 03:00:00,44134778970.85118
Moz-North-Center,storageD,2005-01-01 04:00:00,44142164131.62454
Moz-North-Center,storageD,2005-01-01 05:00:00,44134028102.62454
Moz-North-Center,storageD,2005-01-01 06:00:00,44141889198.88152
Moz-North-Center,storageD,2005-01-01 07:00:00,44133753169.88152
Moz-North-Center,storageD,2005-01-01 08:00:00,44141763146.04137
Moz-North-Center,storageD,2005-01-01 09:00:00,44133627117.04137
Moz-North-Center,storageD,2005-01-01 10:00:00,44141169416.61303
Moz-North-Center,storageD,2005-01-01 11:00:00,44149101558.9765
Moz-North-Center,storageD,2005-01-01 12:00:00,44140965529.9765
Moz-North-Center,storageD,2005-01-01 13:00:00,44148746246.425514
Moz-North-Center,storageD,2005-01-01 14:00:00,44140610217.425514
Moz-North-Center,storageD,2005-01-01 15:00:00,44132474188.425514
Moz-North-Center,storageD,2005-01-01 16:00:00,44139969225.696945
Moz-North-Center,storageD,2005-01-01 17:00:00,44147674336.524536
Moz-North-Center,storageD,2005-01-01 18:00:00,44139538307.524536
Moz-North-Center,storageD,2005-01-01 19:00:00,44147674336.524536
Moz-North-Center,storageD,2005-01-01 20:00:00,44155810365.524536
Moz-North-Center,storageD,2005-01-01 21:00:00,44147674336.524536
Moz-North-Center,storageD,2005-01-01 22:00:00,44155090743.949
Moz-North-Center,storageD,2005-01-01 23:00:00,44146954714.949
Moz-North-Center,storageD,2005-01-02 00:00:00,44154330434.86285
Moz-North-Center,storageD,2005-01-02 01:00:00,44146194405.86285
Moz-North-Center,storageD,2005-01-02 02:00:00,44153569175.80407
Moz-North-Center,storageD,2005-01-02 03:00:00,44145433146.80407
Moz-North-Center,storageD,2005-01-02 04:00:00,44152806966.65147
Moz-North-Center,storageD,2005-01-02 05:00:00,44160180311.40669
Moz-North-Center,storageD,2005-01-02 06:00:00,44168030083.31627
Moz-North-Center,storageD,2005-01-02 07:00:00,44159894054.31627
Moz-North-Center,storageD,2005-01-02 08:00:00,44167892766.66429
Moz-North-Center,storageD,2005-01-02 09:00:00,44175486098.15982
Moz-North-Center,storageD,2005-01-02 10:00:00,44183017627.39085
Moz-North-Center,storageD,2005-01-02 11:00:00,44174881598.39085
Moz-North-Center,storageD,2005-01-02 12:00:00,44183017627.39085
Moz-North-Center,storageD,2005-01-02 13:00:00,44174881598.39085
Moz-North-Center,storageD,2005-01-02 14:00:00,44182334926.26362
Moz-North-Center,storageD,2005-01-02 15:00:00,44174198897.26362
Moz-North-Center,storageD,2005-01-02 16:00:00,44181682757.33885
Moz-North-Center,storageD,2005-01-02 17:00:00,44173546728.33885
Moz-North-Center,storageD,2005-01-02 18:00:00,44181682757.33885
Moz-North-Center,storageD,2005-01-02 19:00:00,44173546728.33885
Moz-North-Center,storageD,2005-01-02 20:00:00,44181682757.33885
Moz-North-Center,storageD,2005-01-02 21:00:00,44173546728.33885
Moz-North-Center,storageD,2005-01-02 22:00:00,44180951783.881714
Moz-North-Center,storageD,2005-01-02 23:00:00,44172815754.881714
Moz-North-Center,storageD,2005-01-03 00:00:00,44180180119.36566
Moz-North-Center,storageD,2005-01-03 01:00:00,44187544008.17188
Moz-North-Center,storageD,2005-01-03 02:00:00,44179407979.17188
Moz-North-Center,storageD,2005-01-03 03:00:00,44186770916.537544
Moz-North-Center,storageD,2005-01-03 04:00:00,44194133378.14055
Moz-North-Center,storageD,2005-01-03 05:00:00,44201495363.952774
Moz-North-Center,storageD,2005-01-03 06:00:00,44193359334.952774
Moz-North-Center,storageD,2005-01-03 07:00:00,44185223305.952774
Moz-North-Center,storageD,2005-01-03 08:00:00,44177087276.952774
Moz-North-Center,storageD,2005-01-03 09:00:00,44185223305.952774
Moz-North-Center,storageD,2005-01-03 10:00:00,44177087276.952774
Moz-North-Center,storageD,2005-01-03 11:00:00,44185223305.952774
Moz-North-Center,storageD,2005-01-03 12:00:00,44177087276.952774
Moz-North-Center,storageD,2005-01-03 13:00:00,44184768460.60313
Moz-North-Center,storageD,2005-01-03 14:00:00,44176632431.60313
Moz-North-Center,storageD,2005-01-03 15:00:00,44183989699.31943
Moz-North-Center,storageD,2005-01-03 16:00:00,44175853670.31943
Moz-North-Center,storageD,2005-01-03 17:00:00,44183856455.88949
Moz-North-Center,storageD,2005-01-03 18:00:00,44191992484.88949
Moz-North-Center,storageD,2005-01-03 19:00:00,44183856455.88949
Moz-North-Center,storageD,2005-01-03 20:00:00,44191992484.88949
Moz-North-Center,storageD,2005-01-03 21:00:00,44199481223.81007
Moz-North-Center,storageD,2005-01-03 22:00:00,44191345194.81007
Moz-North-Center,storageD,2005-01-03 23:00:00,44198698681.7655
Moz-North-Center,storageD,2005-01-04 00:00:00,44190562652.7655
Moz-North-Center,storageD,2005-01-04 01:00:00,44182426623.7655
Moz-North-Center,storageD,2005-01-04 02:00:00,44189778681.724945
Moz-North-Center,storageD,2005-01-04 03:00:00,44181642652.724945
Moz-North-Center,storageD,2005-01-04 04:00:00,44188993757.89079
Moz-North-Center,storageD,2005-01-04 05:00:00,44180857728.89079
Moz-North-Center,storageD,2005-01-04 06:00:00,44188431935.20554
Moz-North-Center,storageD,2005-01-04 07:00:00,44180295906.20554
Moz-North-Center,storageD,2005-01-04 08:00:00,44188431935.20554
Moz-North-Center,storageD,2005-01-04 09:00:00,44180295906.20554
Moz-North-Center,storageD,2005-01-04 10:00:00,44188431935.20554
Moz-North-Center,storageD,2005-01-04 11:00:00,44180295906.20554
Moz-North-Center,storageD,2005-01-04 12:00:00,44188431935.20554
Moz-North-Center,storageD,2005-01-04 13:00:00,44180295906.20554
Moz-North-Center,storageD,2005-01-04 14:00:00,44187772563.07486
Moz-North-Center,storageD,2005-01-04 15:00:00,44179636534.07486
Moz-North-Center,storageD,2005-01-04 16:00:00,44187097537.77561
Moz-North-Center,storageD,2005-01-04 17:00:00,44178961508.77561
Moz-North-Center,storageD,2005-01-04 18:00:00,44187097537.77561
Moz-North-Center,storageD,2005-01-04 19:00:00,44178961508.77561
Moz-North-Center,storageD,2005-01-04 20:00:00,44187097537.77561
Moz-North-Center,storageD,2005-01-04 21:00:00,44178961508.77561
Moz-North-Center,storageD,2005-01-04 22:00:00,44170825479.77561
