costs,locs,techs,cost
monetary,Botswana,Coal,468698011.93670356
monetary,Botswana,DieselEngine,13874575.086801073
monetary,Botswana,ElectricTransmission132kV:SudAfrica,3431.3515228186207
monetary,Botswana,ElectricTransmission132kV:Zimbabwe,4877006.305424736
monetary,Botswana,ElectricTransmission400kV:SudAfrica,2513.9997158800006
monetary,Botswana,ElectricTransmission400kV:Zimbabwe,2971169.7886609747
monetary,Botswana,OCGT,17838739.397315662
monetary,Moz-North-Center,DieselEngine,23059.543794263383
monetary,Moz-North-Center,ElectricTransmission400kV:Zimbabwe,478.87853232
monetary,Moz-North-Center,ElectricTransmission533kV:SudAfrica,0.0
monetary,Moz-North-Center,OCGT,2774915.0173602146
monetary,Moz-North-Center,hydroD,998215417.6509017
monetary,Moz-North-Center,storageD,0.0
monetary,Moz-North-Center,supply_waterD,0.0
monetary,Moz-South,DieselEngine,1625.3073673109825
monetary,Moz-South,ElectricTransmission275kV:SudAfrica,14167372.80000274
monetary,Moz-South,ElectricTransmission400kV:SudAfrica,86345557.22441493
monetary,Moz-South,GasEngine,358666804.5886425
monetary,Moz-South,OCGT,4756997.17261751
monetary,Moz-South,hydro,7985723.341207214
monetary,Namibia,Coal,51265640.008414544
monetary,Namibia,DieselEngine,7631016.29774059
monetary,Namibia,ElectricTransmission132kV:Zambia,4064075.554160131
monetary,Namibia,ElectricTransmission275kV:SudAfrica,0.0
monetary,Namibia,ElectricTransmission400kV:SudAfrica,0.0
monetary,Namibia,hydro,144320301.34711832
monetary,SudAfrica,Coal,26481443454.362633
monetary,SudAfrica,ElectricTransmission132kV:Botswana,2786.92
monetary,SudAfrica,ElectricTransmission275kV:Moz-South,0.0
monetary,SudAfrica,ElectricTransmission275kV:Namibia,2770430.1623216444
monetary,SudAfrica,ElectricTransmission400kV:Botswana,2017.6073843308009
monetary,SudAfrica,ElectricTransmission400kV:Moz-South,0.0
monetary,SudAfrica,ElectricTransmission400kV:Namibia,2766627.083433743
monetary,SudAfrica,ElectricTransmission533kV:Moz-North-Center,229705267.4099311
monetary,SudAfrica,Nuclear,2493516523.493882
monetary,SudAfrica,OCGT,675691806.7272122
monetary,SudAfrica,PV,440946002.1531379
monetary,SudAfrica,Wind,1042017505.5621494
monetary,SudAfrica,hydro,288640602.69423664
monetary,Zambia,Coal,128127907.96980956
monetary,Zambia,DieselEngine,17616746.195926845
monetary,Zambia,ElectricTransmission132kV:Namibia,0.0
monetary,Zambia,ElectricTransmission330kV:Zimbabwe,0.0
monetary,Zambia,HFO,29955174.691697627
monetary,Zambia,PV,299149.25519208814
monetary,Zambia,hydro,99821541.76509017
monetary,Zambia,hydroA,57728120.53884733
monetary,Zambia,hydroB,476256994.4454904
monetary,Zambia,hydroC,519553084.84962595
monetary,Zambia,storageA,0.0
monetary,Zambia,storageB,0.0
monetary,Zambia,storageC,0.0
monetary,Zambia,supply_waterA,0.0
monetary,Zambia,supply_waterB,0.0
monetary,Zambia,supply_waterC,0.0
monetary,Zimbabwe,Biomass,104041040.49767984
monetary,Zimbabwe,Coal,392962009.96168196
monetary,Zimbabwe,Coal_old,115315117.17282861
monetary,Zimbabwe,ElectricTransmission132kV:Botswana,0.0
monetary,Zimbabwe,ElectricTransmission330kV:Zambia,17132702.808085985
monetary,Zimbabwe,ElectricTransmission400kV:Botswana,0.0
monetary,Zimbabwe,ElectricTransmission400kV:Moz-North-Center,3512.6096971719544
monetary,Zimbabwe,hydroC,360800753.36779577
