carriers,locs,techs,timesteps,carrier_prod
power,Botswana,Coal,2005-01-01 00:00:00,383142.0796
power,Botswana,Coal,2005-01-01 01:00:00,372298.4474
power,Botswana,Coal,2005-01-01 02:00:00,375913.0017
power,Botswana,Coal,2005-01-01 03:00:00,378322.6943
power,Botswana,Coal,2005-01-01 04:00:00,379527.556
power,Botswana,Coal,2005-01-01 05:00:00,397600.2967
power,Botswana,Coal,2005-01-01 06:00:00,433745.7783
power,Botswana,Coal,2005-01-01 07:00:00,448203.9647
power,Botswana,Coal,2005-01-01 08:00:00,440974.8562
power,Botswana,Coal,2005-01-01 09:00:00,420492.4228
power,Botswana,Coal,2005-01-01 10:00:00,415673.0375
power,Botswana,Coal,2005-01-01 11:00:00,437360.3019
power,Botswana,Coal,2005-01-01 12:00:00,451818.519
power,Botswana,Coal,2005-01-01 13:00:00,430131.224
power,Botswana,Coal,2005-01-01 14:00:00,409648.7906
power,Botswana,Coal,2005-01-01 15:00:00,402419.682
power,Botswana,Coal,2005-01-01 16:00:00,412058.4832
power,Botswana,Coal,2005-01-01 17:00:00,426516.6697
power,Botswana,Coal,2005-01-01 18:00:00,466276.7055
power,Botswana,Coal,2005-01-01 19:00:00,515675.5272
power,Botswana,Coal,2005-01-01 20:00:00,487963.9852
power,Botswana,Coal,2005-01-01 21:00:00,439770.0252
power,Botswana,Coal,2005-01-01 22:00:00,406034.2363
power,Botswana,Coal,2005-01-01 23:00:00,384346.9413
power,Botswana,Coal,2005-01-02 00:00:00,383142.0796
power,Botswana,Coal,2005-01-02 01:00:00,372298.4474
power,Botswana,Coal,2005-01-02 02:00:00,375913.0017
power,Botswana,Coal,2005-01-02 03:00:00,378322.6943
power,Botswana,Coal,2005-01-02 04:00:00,379527.556
power,Botswana,Coal,2005-01-02 05:00:00,397600.2967
power,Botswana,Coal,2005-01-02 06:00:00,433745.7783
power,Botswana,Coal,2005-01-02 07:00:00,448203.9647
power,Botswana,Coal,2005-01-02 08:00:00,440974.8562
power,Botswana,Coal,2005-01-02 09:00:00,420492.4228
power,Botswana,Coal,2005-01-02 10:00:00,415673.0375
