timesteps,Zambia
2005-01-01 00:00:00,-9.483111036518945e-06
2005-01-01 01:00:00,-9.483948310290265e-06
2005-01-01 02:00:00,-9.484785862942498e-06
2005-01-01 03:00:00,-9.485623694780028e-06
2005-01-01 04:00:00,-9.485421029991017e-06
2005-01-01 05:00:00,-9.485218338090326e-06
2005-01-01 06:00:00,-9.485015619070758e-06
2005-01-01 07:00:00,-9.485853527530957e-06
2005-01-01 08:00:00,-9.486691715564978e-06
2005-01-01 09:00:00,-9.487530183478225e-06
2005-01-01 10:00:00,-9.488368931576547e-06
2005-01-01 11:00:00,-9.489207960166245e-06
2005-01-01 12:00:00,-9.489005776087204e-06
2005-01-01 13:00:00,-9.489845017790482e-06
2005-01-01 14:00:00,-9.489642919384284e-06
2005-01-01 15:00:00,-9.489441017854717e-06
2005-01-01 16:00:00,-9.489239089067365e-06
2005-01-01 17:00:00,-9.489037133035182e-06
2005-01-01 18:00:00,-9.488835373868483e-06
2005-01-01 19:00:00,-9.488633587440046e-06
2005-01-01 20:00:00,-9.48843177374939e-06
2005-01-01 21:00:00,-9.488229932796039e-06
2005-01-01 22:00:00,-9.488028064592925e-06
2005-01-01 23:00:00,-9.487826393166958e-06
2005-01-02 00:00:00,-9.487624694467656e-06
2005-01-02 01:00:00,-9.48742296850794e-06
2005-01-02 02:00:00,-9.487221215280625e-06
2005-01-02 03:00:00,-9.487019434798642e-06
2005-01-02 04:00:00,-9.486817627054798e-06
2005-01-02 05:00:00,-9.486615792068718e-06
2005-01-02 06:00:00,-9.486414153681002e-06
2005-01-02 07:00:00,-9.486212488034218e-06
2005-01-02 08:00:00,-9.486011019013452e-06
2005-01-02 09:00:00,-9.485809746691655e-06
2005-01-02 10:00:00,-9.48560844707768e-06
2005-01-02 11:00:00,-9.48540734418371e-06
2005-01-02 12:00:00,-9.485206438076042e-06
2005-01-02 13:00:00,-9.485005728834404e-06
2005-01-02 14:00:00,-9.48480521651175e-06
2005-01-02 15:00:00,-9.484604901181163e-06
2005-01-02 16:00:00,-9.484404782902353e-06
2005-01-02 17:00:00,-9.484204637220161e-06
2005-01-02 18:00:00,-9.484004464187662e-06
2005-01-02 19:00:00,-9.48380426381103e-06
2005-01-02 20:00:00,-9.483604036136615e-06
2005-01-02 21:00:00,-9.483404005426563e-06
2005-01-02 22:00:00,-9.48320417174732e-06
2005-01-02 23:00:00,-9.483004535172067e-06
2005-01-03 00:00:00,-9.482804871250166e-06
2005-01-03 01:00:00,-9.482605404460338e-06
2005-01-03 02:00:00,-9.48240613486242e-06
2005-01-03 03:00:00,-9.482207062522973e-06
2005-01-03 04:00:00,-9.482008187515271e-06
2005-01-03 05:00:00,-9.481809285096271e-06
2005-01-03 06:00:00,-9.481610580037259e-06
2005-01-03 07:00:00,-9.481411847550434e-06
2005-01-03 08:00:00,-9.481213312451884e-06
2005-01-03 09:00:00,-9.481014749909035e-06
2005-01-03 10:00:00,-9.480816159934716e-06
2005-01-03 11:00:00,-9.48061754258188e-06
2005-01-03 12:00:00,-9.480419122562285e-06
2005-01-03 13:00:00,-9.480220899942622e-06
2005-01-03 14:00:00,-9.48002287480297e-06
2005-01-03 15:00:00,-9.479824822223179e-06
2005-01-03 16:00:00,-9.479626742222745e-06
2005-01-03 17:00:00,-9.479428859685782e-06
2005-01-03 18:00:00,-9.4792309496583e-06
2005-01-03 19:00:00,-9.479033237122786e-06
2005-01-03 20:00:00,-9.478835722139344e-06
2005-01-03 21:00:00,-9.478638179646577e-06
2005-01-03 22:00:00,-9.47844060963057e-06
2005-01-03 23:00:00,-9.478243012104119e-06
2005-01-04 00:00:00,-9.478045387066675e-06
2005-01-04 01:00:00,-9.478880978061975e-06
2005-01-04 02:00:00,-9.478683217007205e-06
2005-01-04 03:00:00,-9.478485653443994e-06
2005-01-04 04:00:00,-9.478288062362238e-06
2005-01-04 05:00:00,-9.478090443774745e-06
2005-01-04 06:00:00,-9.477892797680953e-06
2005-01-04 07:00:00,-9.47769534902416e-06
2005-01-04 08:00:00,-9.47749787285143e-06
2005-01-04 09:00:00,-9.477300594144324e-06
2005-01-04 10:00:00,-9.477103287858243e-06
2005-01-04 11:00:00,-9.476905953992633e-06
2005-01-04 12:00:00,-9.476708592553623e-06
2005-01-04 13:00:00,-9.476511203533987e-06
2005-01-04 14:00:00,-9.476313786946519e-06
2005-01-04 15:00:00,-9.476116342837391e-06
2005-01-04 16:00:00,-9.475918871212713e-06
2005-01-04 17:00:00,-9.475721372078594e-06
2005-01-04 18:00:00,-9.475524070171547e-06
2005-01-04 19:00:00,-9.475326965565112e-06
2005-01-04 20:00:00,-9.475129833417319e-06
2005-01-04 21:00:00,-9.474932673734266e-06
2005-01-04 22:00:00,-9.47473571133577e-06
2005-01-04 23:00:00,-9.474538721339115e-06
2005-01-05 00:00:00,-9.47434170374374e-06
2005-01-05 01:00:00,-9.474144658555752e-06
2005-01-05 02:00:00,-9.473947585774587e-06
2005-01-05 03:00:00,-9.473750485399687e-06
2005-01-05 04:00:00,-9.47355335744382e-06
2005-01-05 05:00:00,-9.473356201899754e-06
2005-01-05 06:00:00,-9.473159018780264e-06
2005-01-05 07:00:00,-9.472962032714132e-06
2005-01-05 08:00:00,-9.47276501900309e-06
2005-01-05 09:00:00,-9.472567977653259e-06
2005-01-05 10:00:00,-9.472370908664073e-06
2005-01-05 11:00:00,-9.472174036687654e-06
2005-01-05 12:00:00,-9.471977361770949e-06
2005-01-05 13:00:00,-9.471780884000926e-06
2005-01-05 14:00:00,-9.47158437840449e-06
2005-01-05 15:00:00,-9.471387844981117e-06
2005-01-05 16:00:00,-9.471191508688776e-06
2005-01-05 17:00:00,-9.470995369594493e-06
2005-01-05 18:00:00,-9.470799202548573e-06
2005-01-05 19:00:00,-9.470603232736475e-06
2005-01-05 20:00:00,-9.470407234903538e-06
2005-01-05 21:00:00,-9.470211434333575e-06
2005-01-05 22:00:00,-9.470015605680276e-06
2005-01-05 23:00:00,-9.469819974325805e-06
2005-01-06 00:00:00,-9.469624314825547e-06
2005-01-06 01:00:00,-9.469428627192342e-06
2005-01-06 02:00:00,-9.469232911425696e-06
2005-01-06 03:00:00,-9.469037167531785e-06
2005-01-06 04:00:00,-9.468841620845686e-06
2005-01-06 05:00:00,-9.468646045963278e-06
2005-01-06 06:00:00,-9.468450442890727e-06
2005-01-06 07:00:00,-9.468254811634236e-06
2005-01-06 08:00:00,-9.468059152199955e-06
2005-01-06 09:00:00,-9.467863689882633e-06
2005-01-06 10:00:00,-9.467668424749422e-06
2005-01-06 11:00:00,-9.467473356880805e-06
2005-01-06 12:00:00,-9.46727848633735e-06
2005-01-06 13:00:00,-9.467083813186285e-06
2005-01-06 14:00:00,-9.466889337501527e-06
2005-01-06 15:00:00,-9.466694833247902e-06
2005-01-06 16:00:00,-9.466500300424975e-06
2005-01-06 17:00:00,-9.466305739038975e-06
2005-01-06 18:00:00,-9.466111149089482e-06
2005-01-06 19:00:00,-9.465916756522773e-06
2005-01-06 20:00:00,-9.46572233533714e-06
2005-01-06 21:00:00,-9.465527885532168e-06
2005-01-06 22:00:00,-9.465333633095297e-06
2005-01-06 23:00:00,-9.465139578100502e-06
2005-01-07 00:00:00,-9.464945494362758e-06
2005-01-07 01:00:00,-9.464751608096819e-06
2005-01-07 02:00:00,-9.464557693025994e-06
2005-01-07 03:00:00,-9.464363975456748e-06
2005-01-07 04:00:00,-9.464170455463122e-06
2005-01-07 05:00:00,-9.463977133105913e-06
2005-01-07 06:00:00,-9.463783781758992e-06
2005-01-07 07:00:00,-9.463590401408703e-06
2005-01-07 08:00:00,-9.463397218693841e-06
2005-01-07 09:00:00,-9.46320400692049e-06
2005-01-07 10:00:00,-9.463010766094927e-06
2005-01-07 11:00:00,-9.462817496216792e-06
2005-01-07 12:00:00,-9.462624197292373e-06
2005-01-07 13:00:00,-9.46243109591417e-06
2005-01-07 14:00:00,-9.462238192162963e-06
2005-01-07 15:00:00,-9.46204525923579e-06
2005-01-07 16:00:00,-9.46185252395903e-06
2005-01-07 17:00:00,-9.461659986406868e-06
2005-01-07 18:00:00,-9.461467646653521e-06
2005-01-07 19:00:00,-9.461275504766583e-06
2005-01-07 20:00:00,-9.46108356081369e-06
2005-01-07 21:00:00,-9.460891814869133e-06
2005-01-07 22:00:00,-9.460700267000586e-06
2005-01-07 23:00:00,-9.460508917282401e-06
2005-01-08 00:00:00,-9.460317765782316e-06
2005-01-08 01:00:00,-9.460126812574723e-06
2005-01-08 02:00:00,-9.459936057727417e-06
2005-01-08 03:00:00,-9.459745501314849e-06
2005-01-08 04:00:00,-9.45955514341149e-06
2005-01-08 05:00:00,-9.459364984085219e-06
2005-01-08 06:00:00,-9.459175023403928e-06
2005-01-08 07:00:00,-9.45898526144881e-06
2005-01-08 08:00:00,-9.458795698287815e-06
