timesteps,Zambia
2005-01-01 00:00:00,-1.701759396589483e-06
2005-01-01 01:00:00,-1.7017730831170695e-06
2005-01-01 02:00:00,-1.7017867696453687e-06
2005-01-01 03:00:00,-1.7018004561743822e-06
2005-01-01 04:00:00,-1.7018141427041084e-06
2005-01-01 05:00:00,-1.701827829234548e-06
2005-01-01 06:00:00,-1.7018415157657014e-06
2005-01-01 07:00:00,-1.701855202297568e-06
2005-01-01 08:00:00,-1.7018688888301482e-06
2005-01-01 09:00:00,-1.7018825753634415e-06
2005-01-01 10:00:00,-1.7018962618974484e-06
2005-01-01 11:00:00,-1.7019099484321692e-06
2005-01-01 12:00:00,-1.701923634967604e-06
2005-01-01 13:00:00,-1.7019373215037516e-06
2005-01-01 14:00:00,-1.7019510080406137e-06
2005-01-01 15:00:00,-1.7019646945781891e-06
2005-01-01 16:00:00,-1.7019783811164785e-06
2005-01-01 17:00:00,-1.7019920676554816e-06
2005-01-01 18:00:00,-1.7020057541951988e-06
2005-01-01 19:00:00,-1.7020194407356299e-06
2005-01-01 20:00:00,-1.7020331272767743e-06
2005-01-01 21:00:00,-1.702046813818633e-06
2005-01-01 22:00:00,-1.7020605003612058e-06
2005-01-01 23:00:00,-1.7020741869044928e-06
2005-01-02 00:00:00,-1.702087873448493e-06
2005-01-02 01:00:00,-1.7021015599932084e-06
2005-01-02 02:00:00,-1.7021152465386374e-06
2005-01-02 03:00:00,-1.7021284840331865e-06
2005-01-02 04:00:00,-1.7021421705800205e-06
2005-01-02 05:00:00,-1.7021558571275687e-06
2005-01-02 06:00:00,-1.7021695436758316e-06
2005-01-02 07:00:00,-1.7021832302248086e-06
2005-01-02 08:00:00,-1.7021969167744994e-06
2005-01-02 09:00:00,-1.702210603324905e-06
2005-01-02 10:00:00,-1.7022242898760249e-06
2005-01-02 11:00:00,-1.7022379764278593e-06
2005-01-02 12:00:00,-1.7022516629804084e-06
2005-01-02 13:00:00,-1.7022653495336718e-06
2005-01-02 14:00:00,-1.7022790360876495e-06
2005-01-02 15:00:00,-1.7022927226423424e-06
2005-01-02 16:00:00,-1.7023064091977496e-06
2005-01-02 17:00:00,-1.7023200957538713e-06
2005-01-02 18:00:00,-1.7023337823107083e-06
2005-01-02 19:00:00,-1.7023474688682596e-06
2005-01-02 20:00:00,-1.7023611554265256e-06
2005-01-02 21:00:00,-1.7023748419855062e-06
2005-01-02 22:00:00,-1.7023885285452022e-06
2005-01-02 23:00:00,-1.7024022151056132e-06
2005-01-03 00:00:00,-1.7024159016667386e-06
2005-01-03 01:00:00,-1.7024295173715464e-06
2005-01-03 02:00:00,-1.7024411657668597e-06
2005-01-03 03:00:00,-1.70245485233002e-06
2005-01-03 04:00:00,-1.702468538893895e-06
2005-01-03 05:00:00,-1.7024822254584862e-06
2005-01-03 06:00:00,-1.7024959120237917e-06
2005-01-03 07:00:00,-1.7025095985898126e-06
2005-01-03 08:00:00,-1.702523285156549e-06
2005-01-03 09:00:00,-1.7025369717239995e-06
2005-01-03 10:00:00,-1.7025506582921664e-06
2005-01-03 11:00:00,-1.7025643448610486e-06
2005-01-03 12:00:00,-1.702578031430646e-06
2005-01-03 13:00:00,-1.7025917180009582e-06
2005-01-03 14:00:00,-1.7026054045719862e-06
2005-01-03 15:00:00,-1.7026190911437295e-06
2005-01-03 16:00:00,-1.7026327777161888e-06
2005-01-03 17:00:00,-1.702646464289363e-06
2005-01-03 18:00:00,-1.7026601508632533e-06
2005-01-03 19:00:00,-1.7026738374378587e-06
2005-01-03 20:00:00,-1.7026875240131803e-06
2005-01-03 21:00:00,-1.702701210589217e-06
2005-01-03 22:00:00,-1.7027148971659697e-06
2005-01-03 23:00:00,-1.7027278575877036e-06
2005-01-04 00:00:00,-1.7027395063369825e-06
2005-01-04 01:00:00,-1.7027531226489484e-06
2005-01-04 02:00:00,-1.7027668092284164e-06
2005-01-04 03:00:00,-1.7027804958085998e-06
2005-01-04 04:00:00,-1.7027939810277472e-06
2005-01-04 05:00:00,-1.7028076676093515e-06
2005-01-04 06:00:00,-1.7028213541916727e-06
2005-01-04 07:00:00,-1.7028350407747095e-06
