timesteps,Zambia
2005-01-01 00:00:00,9.232554694048851e-08
2005-01-01 01:00:00,9.232750974749616e-08
2005-01-01 02:00:00,9.233033783061541e-08
2005-01-01 03:00:00,9.233374326488956e-08
2005-01-01 04:00:00,9.233743796905207e-08
2005-01-01 05:00:00,9.234343571974901e-08
2005-01-01 06:00:00,9.23494357774615e-08
2005-01-01 07:00:00,9.23554381445051e-08
2005-01-01 08:00:00,9.236144282319877e-08
2005-01-01 09:00:00,9.236744981586475e-08
2005-01-01 10:00:00,9.237345912482886e-08
2005-01-01 11:00:00,9.237947075242016e-08
2005-01-01 12:00:00,9.238548470097107e-08
2005-01-01 13:00:00,9.239150097281754e-08
2005-01-01 14:00:00,9.23975195702989e-08
2005-01-01 15:00:00,9.240354049575779e-08
2005-01-01 16:00:00,9.240956375154035e-08
2005-01-01 17:00:00,9.241558933999617e-08
2005-01-01 18:00:00,9.242161726347825e-08
2005-01-01 19:00:00,9.242764752434298e-08
2005-01-01 20:00:00,9.243368012495029e-08
2005-01-01 21:00:00,9.243971506766349e-08
2005-01-01 22:00:00,9.244575235484929e-08
2005-01-01 23:00:00,9.245063710435458e-08
2005-01-02 00:00:00,9.245523311578682e-08
2005-01-02 01:00:00,9.245721725813771e-08
2005-01-02 02:00:00,9.246007286688906e-08
2005-01-02 03:00:00,9.246350996503401e-08
2005-01-02 04:00:00,9.246723841561822e-08
2005-01-02 05:00:00,9.247328641366604e-08
2005-01-02 06:00:00,9.247933676939925e-08
2005-01-02 07:00:00,9.248538948520746e-08
2005-01-02 08:00:00,9.249144456348378e-08
2005-01-02 09:00:00,9.249750200662493e-08
2005-01-02 10:00:00,9.250356181703112e-08
2005-01-02 11:00:00,9.250962399710608e-08
2005-01-02 12:00:00,9.251568854925706e-08
2005-01-02 13:00:00,9.252175547589487e-08
2005-01-02 14:00:00,9.252782477943386e-08
2005-01-02 15:00:00,9.2533896462292e-08
2005-01-02 16:00:00,9.253997052689075e-08
2005-01-02 17:00:00,9.254604697565519e-08
2005-01-02 18:00:00,9.255212581101394e-08
2005-01-02 19:00:00,9.255820703539924e-08
2005-01-02 20:00:00,9.256429065124692e-08
2005-01-02 21:00:00,9.257037666099635e-08
